DEPT,DEN,DT,GR,NEUT,RES_DEP,Facies,velocity
10920.5,2.4322,104.4694,127.3852,0.3916,1.2788,shale,9572.180944850837
10921.0,2.4354,104.6256,122.0462,0.4067,1.2688,shale,9557.89022954229
10921.5,2.4362,104.7494,120.2127,0.434,1.2761,shale,9546.59406163663
10922.0,2.4345,104.2545,123.7825,0.4309,1.2884,shale,9591.91209971752
10922.5,2.431,104.2545,124.2576,0.4036,1.3238,shale,9591.91209971752
10923.0,2.431,104.1048,123.7031,0.388,1.3444,shale,9605.705020325671
10923.5,2.4284,103.89,119.0255,0.4182,1.3008,shale,9625.56550197324
10924.0,2.4254,104.0983,116.6922,0.4052,1.2723,shale,9606.304809972882
10924.5,2.4222,104.515,113.0678,0.4369,1.2821,shale,9568.004592642204
10925.0,2.4254,104.5736,114.6638,0.4369,1.2666,shale,9562.642961512274
10925.5,2.4304,104.7917,117.9193,0.4624,1.1933,shale,9542.74050330322
10926.0,2.4332,104.8991,118.6988,0.4161,1.1627,shale,9532.970254272916
10926.5,2.4318,104.8145,113.7779,0.3869,1.1797,shale,9540.664698109518
10927.0,2.423,104.6224,110.7155,0.3783,1.2066,shale,9558.182568933613
10927.5,2.4116,105.0326,112.696,0.3803,1.2484,shale,9520.853525476852
10928.0,2.4075,104.974,117.7309,0.396,1.2774,shale,9526.168384552366
10928.5,2.4101,105.2506,124.8747,0.4115,1.2762,shale,9501.133485224787
10929.0,2.4145,105.8235,118.0572,0.4148,1.2195,shale,9449.696900971901
10929.5,2.4153,105.6445,121.2729,0.4228,1.1882,shale,9465.708105959136
10930.0,2.4119,105.9961,122.9946,0.4114,1.1684,shale,9434.309375533629
10930.5,2.4069,106.0286,130.9378,0.4284,1.155,shale,9431.417560922242
10931.0,2.4019,106.3379,124.825,0.3975,1.143,shale,9403.984844538025
10931.5,2.4001,106.4518,118.4799,0.3942,1.1302,shale,9393.922883408264
10932.0,2.4007,106.8945,116.898,0.4245,1.1288,shale,9355.018265673165
10932.5,2.3999,107.6302,119.8266,0.4309,1.1188,shale,9291.07258000078
10933.0,2.3959,107.9557,125.6378,0.4653,1.1178,shale,9263.058828760317
10933.5,2.3881,108.5026,123.4025,0.3916,1.1144,shale,9216.369008668917
10934.0,2.3812,108.6035,123.5428,0.3967,1.0965,shale,9207.806378247478
10934.5,2.3785,108.1445,121.4575,0.3701,1.0726,shale,9246.88726657389
10935.0,2.3761,107.8027,121.1611,0.3862,1.0354,shale,9276.205512477887
10935.5,2.3741,107.5814,119.8379,0.3794,1.0131,shale,9295.287103532766
10936.0,2.3818,107.041,122.8217,0.3606,1.0081,shale,9342.214665408583
10936.5,2.3955,107.3112,130.5991,0.3846,0.999,shale,9318.69180476968
10937.0,2.4043,107.1419,129.2873,0.3897,0.9802,shale,9333.416711855958
10937.5,2.4054,107.1517,129.1298,0.4206,0.9705,shale,9332.56308579332
10938.0,2.41,107.9525,128.1695,0.401,0.9676,shale,9263.333410527779
10938.5,2.4197,107.3145,128.9727,0.4185,0.9648,shale,9318.405248125837
10939.0,2.4278,107.8776,123.4981,0.3904,0.968,shale,9269.764992917899
10939.5,2.4268,108.2162,118.6764,0.4047,0.9756,shale,9240.760625488605
10940.0,2.4134,108.431,123.4779,0.4008,0.9803,shale,9222.454833027456
10940.5,2.3933,108.6393,124.9727,0.4224,0.9881,shale,9204.77212205896
10941.0,2.3805,108.4603,122.8981,0.4214,0.9916,shale,9219.963433625022
10941.5,2.3816,108.7435,123.3071,0.4148,0.9814,shale,9195.95194195515
10942.0,2.3872,108.6523,123.5525,0.3927,0.971,shale,9203.670792058705
10942.5,2.3881,109.1569,125.971,0.3949,0.9624,shale,9161.124949499299
10943.0,2.3877,110.2832,123.7448,0.4023,0.9458,shale,9067.564234625039
10943.5,2.3884,111.2761,123.7911,0.4163,0.9061,shale,8986.655714928902
10944.0,2.3877,111.8783,121.3996,0.3981,0.8635,shale,8938.28383162776
10944.5,2.3849,113.112,113.0799,0.3995,0.8437,shale,8840.794964283188
10945.0,2.383,113.8574,105.9308,0.3959,0.8476,shale,8782.916174091451
10945.5,2.3775,115.3613,102.5212,0.4157,0.8569,shale,8668.418265050757
10946.0,2.3642,116.7253,105.1893,0.4104,0.8403,shale,8567.122980193668
10946.5,2.3543,117.4154,105.6119,0.4239,0.8116,shale,8516.77037254057
10947.0,2.3645,118.4701,111.2146,0.4278,0.7747,shale,8440.948391197442
10947.5,2.3843,117.9915,122.3015,0.4174,0.749,shale,8475.186771928486
10948.0,2.3929,118.0697,127.2072,0.4296,0.721,shale,8469.573480749083
10948.5,2.3774,117.832,121.3687,0.4265,0.6934,shale,8486.658972095865
10949.0,2.3593,117.4511,116.7311,0.4366,0.6836,shale,8514.18164665976
10949.5,2.3545,118.1348,116.1899,0.4172,0.6946,shale,8464.906191909582
10950.0,2.3632,118.0762,115.5932,0.4243,0.7049,shale,8469.107237529663
10950.5,2.3691,118.7565,110.7209,0.4268,0.7099,shale,8420.591714979812
10951.0,2.3642,119.1146,113.6236,0.43,0.7113,shale,8395.27648164037
10951.5,2.3524,118.5417,119.7064,0.445,0.6968,shale,8435.850000463972
10952.0,2.3452,118.3496,122.7547,0.448,0.6852,shale,8449.542710748494
10952.5,2.3538,117.8646,117.7492,0.4332,0.6775,shale,8484.311659310768
10953.0,2.3685,117.8841,112.2936,0.4095,0.6792,shale,8482.908212388269
10953.5,2.3746,117.9492,112.2811,0.409,0.6736,shale,8478.226219423277
10954.0,2.36,117.6302,114.5636,0.4508,0.6794,shale,8501.218224571581
10954.5,2.3427,117.3275,115.1943,0.4681,0.6921,shale,8523.151008928
10955.0,2.3376,116.9922,109.8378,0.4695,0.6991,shale,8547.578385567585
10955.5,2.3432,116.6309,107.6167,0.451,0.7013,shale,8574.057132372296
10956.0,2.3512,116.3184,106.9057,0.4456,0.7041,shale,8597.09211956148
10956.5,2.3568,115.9147,113.6199,0.4515,0.7038,shale,8627.033499633782
10957.0,2.358,116.0254,117.4807,0.4271,0.6987,shale,8618.802434639312
10957.5,2.3627,116.0449,122.0854,0.4398,0.6931,shale,8617.354144818084
10958.0,2.3686,117.679,119.3702,0.4246,0.6906,shale,8497.692876384062
