columns,eval_params
"['Depth', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.583483947505357e+21, 'R2': -0.00323450877110254}, 'ann': {'RMSE': 45049438515.95702}, 'gbr': {'MSE': 3.1412885212808525e+20, 'RMSE': 17723680546.886566, 'R-squared': 0.8780155359742576}, 'dtr': {'MSE': 1.5439465224428805e+21, 'RMSE': 39293084918.8872, 'R-squared': 0.4004451111424513}, 'rfr': {'MSE': 3.436219813732216e+20, 'RMSE': 18537043490.622272, 'R-squared': 0.8665625811150112}}"
"['Depth', 'RHOB', 'PHI']","{'svr': {'MSE': 2.5834839469433286e+21, 'R2': -0.0032345085528524553}, 'ann': {'RMSE': 50827983921.47539}, 'gbr': {'MSE': 1.1125958165476372e+20, 'RMSE': 10547965759.081877, 'R-squared': 0.9567949892410686}, 'dtr': {'MSE': 1.314118455531018e+21, 'RMSE': 36250771792.21179, 'R-squared': 0.489693371435602}, 'rfr': {'MSE': 2.1988721294263393e+20, 'RMSE': 14828594435.840302, 'R-squared': 0.9146120337714648}}"
"['Depth', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947326707e+21, 'R2': -0.003234508701728034}, 'ann': {'RMSE': 50827983921.908295}, 'gbr': {'MSE': 5.046060121720845e+19, 'RMSE': 7103562572.203362, 'R-squared': 0.9804048263882872}, 'dtr': {'MSE': 4.0575028890354287e+20, 'RMSE': 20143244249.711685, 'R-squared': 0.842436531426896}, 'rfr': {'MSE': 4.779602605864276e+19, 'RMSE': 6913467007.1276655, 'R-squared': 0.9814395507390495}}"
"['GR', 'Log_ILD', 'RHOB']","{'svr': {'MSE': 2.5834839471211954e+21, 'R2': -0.0032345086219225383}, 'ann': {'RMSE': 50827983921.62752}, 'gbr': {'MSE': 2.7286670928093374e+20, 'RMSE': 16518677588.74583, 'R-squared': 0.8940387071846216}, 'dtr': {'MSE': 3.253267610229523e+20, 'RMSE': 18036816820.685192, 'R-squared': 0.8736670945449029}, 'rfr': {'MSE': 4.609858484242049e+20, 'RMSE': 21470580998.75746, 'R-squared': 0.8209871163934034}}"
"['GR', 'Log_ILD', 'NPHI']","{'svr': {'MSE': 2.583483948724713e+21, 'R2': -0.0032345092446106616}, 'ann': {'RMSE': 70785113849.37108}, 'gbr': {'MSE': 4.867027028820075e+21, 'RMSE': 69764081222.50357, 'R-squared': -0.8899941202068811}, 'dtr': {'MSE': 1.5204265634278214e+23, 'RMSE': 389926475560.17804, 'R-squared': -58.04214725065109}, 'rfr': {'MSE': 1.8711841208803304e+22, 'RMSE': 136791232207.34326, 'R-squared': -6.266298225480936}}"
"['GR', 'Log_ILD', 'PHI']","{'svr': {'MSE': 2.583483947129886e+21, 'R2': -0.0032345086252973942}, 'ann': {'RMSE': 44220976096.838394}, 'gbr': {'MSE': 4.626382159428148e+19, 'RMSE': 6801751362.280268, 'R-squared': 0.9820345458790908}, 'dtr': {'MSE': 5.696355361681282e+19, 'RMSE': 7547420328.616448, 'R-squared': 0.9778795595823995}, 'rfr': {'MSE': 6.770700320808448e+19, 'RMSE': 8228426532.945681, 'R-squared': 0.973707596608287}}"
"['GR', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.583483947756812e+21, 'R2': -0.0032345088687493195}, 'ann': {'RMSE': 50827983921.93198}, 'gbr': {'MSE': 2.7481649405083186e+20, 'RMSE': 16577590115.901402, 'R-squared': 0.8932815546705807}, 'dtr': {'MSE': 5.0448960474718156e+20, 'RMSE': 22460846038.098866, 'R-squared': 0.8040934679360469}, 'rfr': {'MSE': 3.314797372401485e+20, 'RMSE': 18206584996.647465, 'R-squared': 0.8712777326606536}}"
"['GR', 'RHOB', 'PHI']","{'svr': {'MSE': 2.583483947015096e+21, 'R2': -0.0032345085807217178}, 'ann': {'RMSE': 17118080375.793894}, 'gbr': {'MSE': 8.43475821809215e+19, 'RMSE': 9184093977.139036, 'R-squared': 0.9672456237798507}, 'dtr': {'MSE': 3.2467503688250026e+20, 'RMSE': 18018741267.982628, 'R-squared': 0.8739201761049923}, 'rfr': {'MSE': 1.7325995783602884e+20, 'RMSE': 13162824842.564337, 'R-squared': 0.932718618647825}}"
"['GR', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947738332e+21, 'R2': -0.00323450886157306}, 'ann': {'RMSE': 50827983921.911354}, 'gbr': {'MSE': 4.874931940423794e+19, 'RMSE': 6982071283.239519, 'R-squared': 0.9810693619549441}, 'dtr': {'MSE': 5.572569195589571e+19, 'RMSE': 7464964297.02753, 'R-squared': 0.9783602536995493}, 'rfr': {'MSE': 3.39095946731078e+19, 'RMSE': 5823194541.925231, 'R-squared': 0.9868320158956854}}"
"['Log_ILD', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.583483947497475e+21, 'R2': -0.003234508768041877}, 'ann': {'RMSE': 50827983921.93444}, 'gbr': {'MSE': 3.145281006484867e+20, 'RMSE': 17734940108.39864, 'R-squared': 0.8778604973127521}, 'dtr': {'MSE': 5.0471166976178356e+20, 'RMSE': 22465788874.681957, 'R-squared': 0.8040072342723716}, 'rfr': {'MSE': 3.5834015242154325e+20, 'RMSE': 18929874601.31586, 'R-squared': 0.8608471296542308}}"
"['Log_ILD', 'RHOB', 'PHI']","{'svr': {'MSE': 2.583483946585917e+21, 'R2': -0.0032345084140601443}, 'ann': {'RMSE': 50827983921.85016}, 'gbr': {'MSE': 1.107548325412661e+20, 'RMSE': 10524012188.384527, 'R-squared': 0.95699099654718}, 'dtr': {'MSE': 5.893277801886266e+19, 'RMSE': 7676768722.507059, 'R-squared': 0.9771148581498404}, 'rfr': {'MSE': 1.24859388296937e+20, 'RMSE': 11174049771.543753, 'R-squared': 0.9515138279823672}}"
"['Log_ILD', 'NPHI', 'PHI']","{'svr': {'MSE': 2.5834839475032566e+21, 'R2': -0.00323450877028697}, 'ann': {'RMSE': 50827983921.90516}, 'gbr': {'MSE': 5.046427953363829e+19, 'RMSE': 7103821473.9419155, 'R-squared': 0.9804033980016389}, 'dtr': {'MSE': 2.3694215391988364e+20, 'RMSE': 15392925450.345156, 'R-squared': 0.9079891533196807}, 'rfr': {'MSE': 2.743527863554379e+19, 'RMSE': 5237869665.765252, 'R-squared': 0.9893461624518682}}"
"['RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.583483947434234e+21, 'R2': -0.003234508743483744}, 'ann': {'RMSE': 50827983921.74887}, 'gbr': {'MSE': 1.060309918603234e+20, 'RMSE': 10297135128.77846, 'R-squared': 0.9588253876567647}, 'dtr': {'MSE': 3.2392927685839317e+20, 'RMSE': 17998035361.07186, 'R-squared': 0.8742097742626154}, 'rfr': {'MSE': 1.1780350704333565e+20, 'RMSE': 10853732401.498373, 'R-squared': 0.9542538115499984}}"
"['Depth', 'GR', 'Log_ILD', 'RHOB']","{'svr': {'MSE': 2.5834839471972727e+21, 'R2': -0.003234508651465573}, 'ann': {'RMSE': 50827983921.63967}, 'gbr': {'MSE': 2.7775082047885364e+20, 'RMSE': 16665857928.0772, 'R-squared': 0.892142078833917}, 'dtr': {'MSE': 1.3150211727165161e+21, 'RMSE': 36263220661.11222, 'R-squared': 0.4893428226996491}, 'rfr': {'MSE': 3.778116809957608e+20, 'RMSE': 19437378449.671673, 'R-squared': 0.8532858249195757}}"
"['Depth', 'GR', 'Log_ILD', 'NPHI']","{'svr': {'MSE': 2.583483946394999e+21, 'R2': -0.003234508339921449}, 'ann': {'RMSE': 296199398027.8364}, 'gbr': {'MSE': 2.014993847744853e+23, 'RMSE': 448886828470.70184, 'R-squared': -77.2474907564685}, 'dtr': {'MSE': 1.2147859274397617e+23, 'RMSE': 348537792418.5212, 'R-squared': -46.17332052145645}, 'rfr': {'MSE': 7.97064684399564e+22, 'RMSE': 282323340232.35913, 'R-squared': -29.952110148953516}}"
"['Depth', 'GR', 'Log_ILD', 'PHI']","{'svr': {'MSE': 2.583483946866077e+21, 'R2': -0.003234508522853341}, 'ann': {'RMSE': 50827983922.06512}, 'gbr': {'MSE': 4.860859071915676e+19, 'RMSE': 6971986138.766826, 'R-squared': 0.9811240105907073}, 'dtr': {'MSE': 1.9079710333811275e+20, 'RMSE': 13812932467.007603, 'R-squared': 0.9259084855444166}, 'rfr': {'MSE': 4.7304352920995275e+19, 'RMSE': 6877815999.355847, 'R-squared': 0.981630480301124}}"
"['Depth', 'GR', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.5834839476775504e+21, 'R2': -0.0032345088379697184}, 'ann': {'RMSE': 38063206249.75154}, 'gbr': {'MSE': 2.7813582913403922e+20, 'RMSE': 16677404748.162683, 'R-squared': 0.891992569885185}, 'dtr': {'MSE': 3.2416783669720895e+20, 'RMSE': 18004661526.87156, 'R-squared': 0.8741171352265036}, 'rfr': {'MSE': 3.9646904111320465e+20, 'RMSE': 19911530355.881855, 'R-squared': 0.8460406831293729}}"
"['Depth', 'GR', 'RHOB', 'PHI']","{'svr': {'MSE': 2.5834839471068655e+21, 'R2': -0.0032345086163578785}, 'ann': {'RMSE': 87246332891.90129}, 'gbr': {'MSE': 7.487730569270342e+19, 'RMSE': 8653167379.214586, 'R-squared': 0.9709231802786081}, 'dtr': {'MSE': 3.2467812256771205e+20, 'RMSE': 18018826892.106823, 'R-squared': 0.873918977852574}, 'rfr': {'MSE': 2.1710574955862534e+20, 'RMSE': 14734508799.36706, 'R-squared': 0.9156921488828497}}"
"['Depth', 'GR', 'NPHI', 'PHI']","{'svr': {'MSE': 2.5834839474278813e+21, 'R2': -0.0032345087410168283}, 'ann': {'RMSE': 16436243320.051523}, 'gbr': {'MSE': 4.990428024918902e+19, 'RMSE': 7064296160.919998, 'R-squared': 0.9806208603967853}, 'dtr': {'MSE': 6.245284933015116e+20, 'RMSE': 24990568086.810505, 'R-squared': 0.7574792222742852}, 'rfr': {'MSE': 3.926541891374109e+19, 'RMSE': 6266212485.524337, 'R-squared': 0.9847522090107599}}"
"['Depth', 'Log_ILD', 'RHOB', 'NPHI']","{'svr': {'MSE': 2.5834839474544884e+21, 'R2': -0.003234508751349008}, 'ann': {'RMSE': 50827929229.79327}, 'gbr': {'MSE': 3.157546912430638e+20, 'RMSE': 17769487647.173843, 'R-squared': 0.8773841800459844}, 'dtr': {'MSE': 5.053706269058591e+20, 'RMSE': 22480449882.194508, 'R-squared': 0.8037513439474574}, 'rfr': {'MSE': 3.656132120184089e+20, 'RMSE': 19121014931.702995, 'R-squared': 0.8580228100454443}}"
"['Depth', 'Log_ILD', 'RHOB', 'PHI']","{'svr': {'MSE': 2.583483946803579e+21, 'R2': -0.0032345084985838657}, 'ann': {'RMSE': 25954724176.131042}, 'gbr': {'MSE': 1.0476874356153701e+20, 'RMSE': 10235660387.172731, 'R-squared': 0.9593155517443732}, 'dtr': {'MSE': 5.596493503939639e+19, 'RMSE': 7480971530.449531, 'R-squared': 0.9782673493416243}, 'rfr': {'MSE': 1.6696571751342162e+20, 'RMSE': 12921521486.010138, 'R-squared': 0.9351628370855806}}"
"['Depth', 'Log_ILD', 'NPHI', 'PHI']","{'svr': {'MSE': 2.5834839471191653e+21, 'R2': -0.00323450862113428}, 'ann': {'RMSE': 50827983921.95919}, 'gbr': {'MSE': 5.06467788175615e+19, 'RMSE': 7116655030.108, 'R-squared': 0.98033252874788}, 'dtr': {'MSE': 5.008434850535866e+20, 'RMSE': 22379532726.435253, 'R-squared': 0.8055093517480042}, 'rfr': {'MSE': 3.7535415798085616e+19, 'RMSE': 6126615362.342051, 'R-squared': 0.9854240145497813}}"
"['Depth', 'RHOB', 'NPHI', 'PHI']","{'svr': {'MSE': 2.5834839474084617e+21, 'R2': -0.0032345087334757494}, 'ann': {'RMSE': 50827983921.83649}, 'gbr': {'MSE': 7.221843091439944e+19, 'RMSE': 8498142792.069303, 'R-squared': 0.9719556910223546}, 'dtr': {'MSE': 3.2395260325200377e+20, 'RMSE': 17998683375.513992, 'R-squared': 0.8742007160127826}, 'rfr': {'MSE': 1.782893061570513e+20, 'RMSE': 13352501868.827854, 'R-squared': 0.9307655909167443}}"
