DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
5780.5,1.9577,112.0,87.6087,0.6763,1.5613,0.4466,23736.92651237429
5781.0,1.9548,111.7,87.1465,0.5923,1.5208,0.4485,24331.15808919097
5781.5,1.9508,121.5,90.8687,0.6346,1.4761,0.4511,25168.49749236597
5782.0,1.9492,109.9,94.5508,0.6859,1.4574,0.4521,25498.170697754562
5782.5,1.949,109.3,95.6482,0.6665,1.4722,0.4523,25564.621732052034
5783.0,1.9483,110.35,93.7705,0.7648,1.5207,0.4527,25698.043788058556
5783.5,1.948,122.2,94.7603,0.7326,1.5223,0.4529,25765.01571358922
5784.0,1.9485,120.5,92.5498,0.557,1.4937,0.4526,25664.623134546197
5784.5,1.9473,118.2,93.8721,0.5493,1.5053,0.4534,25933.21011860508
5785.0,1.9442,118.15,95.4713,0.5836,1.5587,0.4554,26617.03940465846
5785.5,1.9441,116.7,97.9455,0.6521,1.6121,0.4554,26617.03940465846
5786.0,1.9515,116.8,97.0868,0.625,1.6211,0.4506,25005.26276587
5786.5,1.9611,116.85,91.7307,0.6816,1.5749,0.4445,23097.014293822514
5787.0,1.9661,116.1,87.821,0.7621,1.5081,0.4412,22126.112679883172
5787.5,1.9677,115.35,87.9419,0.6173,1.4711,0.4402,21840.03778547473
5788.0,1.966,112.0,91.6182,0.6391,1.4639,0.4413,22154.925460089296
5788.5,1.9612,116.3,100.815,0.5179,1.4809,0.4444,23066.976314346375
5789.0,1.9626,114.7,103.01,0.5441,1.5063,0.4435,22798.38633233419
5789.5,1.9456,112.6,101.072,0.4381,1.5305,0.4545,26307.112778927833
5790.0,1.8582,118.3,96.8508,0.4743,1.5307,0.5108,54735.089252205624
5790.5,1.7239,117.4,98.5476,0.4509,1.5142,0.5975,169149.6871302247
5791.0,1.6589,119.9,100.25,0.5119,1.5028,0.6394,291795.68685875006
5791.5,1.7566,116.5,104.046,0.5119,1.5039,0.5764,128534.46789941854
5792.0,1.9258,112.4,106.964,0.6173,1.5022,0.4672,31034.89017674814
5792.5,2.022,112.5,107.022,0.8714,1.5144,0.4052,13849.773887105572
5793.0,2.0259,108.1,101.286,0.9335,1.5233,0.4026,13389.000994156577
5793.5,2.0023,102.35,94.1876,0.8249,1.53,0.4179,16338.783171348628
5794.0,2.0017,102.3,91.9413,0.6466,1.5291,0.4183,16424.055469378876
5794.5,2.0038,107.6,94.1618,0.5434,1.5271,0.4169,16127.534329849434
5795.0,1.9546,110.85,93.4233,0.5055,1.5153,0.4486,24362.842295103143
5795.5,1.8211,113.1,88.1127,0.5664,1.4926,0.5348,74801.00880370912
5796.0,1.6424,103.4,84.1998,0.6025,1.4393,0.6501,335391.7886981388
5796.5,1.5058,101.1,81.6756,0.6268,1.3672,0.7382,1055529.126971285
5797.0,1.4486,100.1,87.5756,0.6819,1.345,0.7751,1706157.8928415994
5797.5,1.432,99.7,91.6391,0.725,1.3746,0.7858,1961068.5601346542
5798.0,1.4287,100.0,87.7578,0.7276,1.3875,0.7879,2015400.7658944065
5798.5,1.4443,100.25,81.535,0.7597,1.3426,0.7779,1769473.5522223671
5799.0,1.4788,99.9,76.1025,0.5853,1.2843,0.7556,1323763.4925899832
5799.5,1.5455,99.9,76.7876,0.6888,1.2906,0.7126,756459.7461078755
5800.0,1.6361,104.0,80.2716,0.6892,1.3222,0.6541,353312.79310908663
5800.5,1.7529,102.8,79.1198,0.9522,1.3464,0.5788,132612.2874888138
5801.0,1.8822,105.6,79.1809,0.7796,1.3467,0.4954,44794.9567472612
5801.5,1.9556,106.2,77.1966,0.702,1.3017,0.448,24173.35407497741
5802.0,1.965,106.25,88.2755,0.6158,1.2197,0.4419,22328.59177794612
5802.5,1.9279,105.5,88.841,0.649,1.1406,0.4659,30514.268140875796
5803.0,1.8675,105.25,90.9639,0.8738,1.1085,0.5048,50623.879587734446
5803.5,1.7918,102.5,86.5466,0.8849,1.1061,0.5537,95658.86733976529
5804.0,1.7131,102.0,80.1005,0.8961,1.0873,0.6045,185282.0466226411
5804.5,1.6949,102.5,78.805,0.8531,1.0557,0.6162,215753.8882561419
5805.0,1.7248,103.8,83.0912,0.8714,1.0355,0.5969,167834.08229393853
5805.5,1.7684,102.15,82.2884,0.6331,1.0355,0.5688,116430.40896981573
5806.0,1.866,101.8,82.7124,0.5855,1.0479,0.5058,51286.98379798615
5806.5,1.9895,106.45,81.3795,0.7169,1.0625,0.4261,18178.746397243656
5807.0,1.9702,106.9,77.336,1.1161,1.0738,0.4386,21389.991423873522
5807.5,1.7589,107.65,79.4321,1.2922,1.095,0.5749,126049.75401546252
5808.0,1.4783,106.0,78.7001,1.0203,1.1337,0.7559,1328941.6723110466
5808.5,1.347,106.1,79.0179,0.9061,1.1686,0.8406,4001361.7801472642
5809.0,1.3781,107.15,82.4167,1.0094,1.181,0.8206,3084417.315611243
5809.5,1.4598,105.7,87.276,0.8603,1.1968,0.7679,1553555.3548452377
5810.0,1.5119,143.6,83.9865,0.7964,1.2295,0.7343,1003294.5613890396
5810.5,1.5411,141.9,81.9046,0.6844,1.242,0.7154,784532.0293477684
5811.0,1.601,141.7,82.0791,0.6014,1.2539,0.6768,474737.7125325392
5811.5,1.6762,206.85,88.4516,0.5853,1.3028,0.6283,252548.3973363825
5812.0,1.7046,209.8,87.0283,0.5938,1.3627,0.6099,198770.85452712976
5812.5,1.6759,198.6,86.802,0.7214,1.4514,0.6285,253206.5662070875
5813.0,1.6508,200.45,87.6823,0.6311,1.4921,0.6446,312225.1527589998
5813.5,1.6649,203.1,85.5452,0.5964,1.4613,0.6355,277355.70547654515
5814.0,1.6853,204.3,87.4072,0.6214,1.3863,0.6224,233883.39221762732
5814.5,1.6621,203.9,91.2752,0.8035,1.3042,0.6374,284299.044080998
5815.0,1.6059,202.85,93.8049,0.9822,1.2517,0.6736,455373.9500895054
5815.5,1.5711,202.6,96.932,0.7548,1.2224,0.6961,610284.3116294818
5816.0,1.6049,204.85,91.2081,0.634,1.1756,0.6743,459541.1396916489
5816.5,1.705,207.2,90.5266,0.5708,1.1302,0.6097,198254.18234594274
5817.0,1.8142,202.8,89.8461,0.5279,1.1469,0.5392,79209.10135699905
5817.5,1.899,200.8,87.3326,0.4781,1.198,0.4845,38870.95557673385
5818.0,1.9433,204.8,87.7616,0.5311,1.2633,0.4559,26790.795832976448
5818.5,1.9389,206.5,88.4053,0.6425,1.3008,0.4588,27821.186293377425
5819.0,1.892,206.0,90.765,0.7186,1.3063,0.489,41215.257899917466
5819.5,1.8218,204.15,89.434,0.6053,1.2898,0.5343,74315.8736772521
5820.0,1.7272,184.9,96.2353,0.5535,1.2873,0.5954,164589.66325761363
5820.5,1.6297,184.85,96.3947,0.6401,1.2994,0.6583,373161.3429544117
5821.0,1.5495,184.75,101.343,0.6178,1.2613,0.71,731292.8265281904
5821.5,1.5372,182.9,101.954,0.6552,1.2401,0.7179,810475.7307930724
5822.0,1.5668,182.7,113.468,0.5832,1.2679,0.6988,632108.8758606238
5822.5,1.5587,185.6,114.561,0.6852,1.3117,0.7041,677245.4261312002
5823.0,1.5015,186.5,116.596,0.667,1.3734,0.741,1094699.8994714136
5823.5,1.4489,185.1,113.188,0.7272,1.3265,0.7749,1701723.015696049
5824.0,1.4746,184.1,115.514,0.6475,1.3398,0.7583,1371103.0043885612
5824.5,1.5528,182.8,112.719,0.7932,1.3544,0.7079,711578.2600787078
5825.0,1.6129,177.4,115.101,0.6783,1.3494,0.6691,429472.51786495384
5825.5,1.6242,174.8,113.576,0.6395,1.3315,0.6618,390550.9671327394
5826.0,1.6175,173.8,118.406,0.512,1.3291,0.6661,413028.6476120661
5826.5,1.6236,175.5,121.419,0.4651,1.3351,0.6622,392589.2571397788
5827.0,1.6224,176.15,120.708,0.4311,1.3461,0.663,396697.8062502139
5827.5,1.5912,176.1,121.926,0.4587,1.3039,0.6831,515299.42669105914
5828.0,1.538,177.05,117.432,0.549,1.2435,0.7174,805219.2475926862
5828.5,1.4954,180.3,119.346,0.7683,1.2308,0.7449,1151693.3048903102
5829.0,1.5136,182.2,114.276,0.8054,1.2543,0.7332,989034.7485109348
5829.5,1.652,181.8,114.062,0.7234,1.3177,0.6439,309393.84714188357
5830.0,1.853,182.1,119.25,0.6454,1.3602,0.5142,57211.2882924064
5830.5,1.9731,184.45,119.496,0.6242,1.4099,0.4367,20867.590957553337
5831.0,1.9825,186.3,121.753,0.595,1.4179,0.4306,19275.10425053838
5831.5,1.9666,186.95,124.903,0.5086,1.4237,0.4409,22039.898972861894
5832.0,1.9961,186.1,121.458,0.5364,1.4588,0.4219,17211.8141015924
5832.5,2.0114,184.5,118.78,0.6421,1.5167,0.412,15131.23849973757
5833.0,1.9793,182.25,100.393,0.584,1.583,0.4327,19809.12888969175
5833.5,1.9397,180.0,95.7928,0.4639,1.5767,0.4583,27640.747086119667
5834.0,1.9244,178.7,97.7388,0.4309,1.4991,0.4681,31400.515202695737
5834.5,1.9344,177.6,102.304,0.4697,1.4288,0.4617,28891.20620366501
5835.0,1.9595,173.55,105.549,0.4809,1.4386,0.4455,23399.553876865175
5835.5,1.995,172.75,109.646,0.4862,1.505,0.4226,17369.321777962778
5836.0,2.0369,171.9,115.486,0.3997,1.6413,0.3955,12207.334916928949
5836.5,2.0672,169.7,117.04,0.3628,1.7505,0.376,9471.353368084665
5837.0,2.0729,167.8,115.997,0.35,1.7959,0.3723,9026.11002213794
5837.5,2.0704,163.4,114.399,0.3976,1.6064,0.3739,9216.019774525299
5838.0,2.0867,161.1,108.418,0.3881,1.3101,0.3634,8038.965914573323
5838.5,2.1154,159.6,107.077,0.3904,1.1433,0.3449,6318.923560220225
5839.0,2.1298,157.4,104.476,0.3882,0.8881,0.3356,5598.632646874747
5839.5,2.1253,156.9,105.92,0.3808,0.7355,0.3385,5813.9594966851755
5840.0,2.1181,156.65,108.66,0.4174,0.8401,0.3432,6180.6642662993445
5840.5,2.12,157.0,111.972,0.4397,1.1693,0.3419,6076.9812825659255
5841.0,2.1262,157.15,111.662,0.4866,1.408,0.3379,5768.739943746104
5841.5,2.1288,157.0,110.607,0.4713,1.3246,0.3363,5649.866503681205
5842.0,2.127,156.15,108.253,0.4348,1.2088,0.3374,5731.325764086422
5842.5,2.1216,155.4,104.1,0.4271,1.2023,0.3409,5998.410238303264
5843.0,2.1148,155.9,101.722,0.4113,1.3117,0.3453,6351.902095243717
5843.5,2.1115,157.15,101.428,0.4561,1.3957,0.3474,6527.884138207522
5844.0,2.1121,159.3,103.202,0.4972,1.4052,0.347,6493.991919396036
5844.5,2.1137,158.7,105.563,0.4875,1.4174,0.346,6410.029224298706
5845.0,2.1167,158.2,106.822,0.4442,1.4166,0.3441,6253.479266444947
5845.5,2.1228,156.6,112.93,0.4293,1.4312,0.3401,5936.285460549746
5846.0,2.1299,155.55,112.947,0.4623,1.5319,0.3355,5591.351549396002
5846.5,2.1324,155.1,112.681,0.5545,1.684,0.3339,5476.133460217019
5847.0,2.1324,155.45,110.357,0.5986,1.8037,0.3339,5476.133460217019
5847.5,2.1359,155.65,110.718,0.6903,1.8672,0.3317,5321.5752576549785
5848.0,2.1414,155.6,110.424,0.5962,1.87,0.3281,5078.014827508103
5848.5,2.1417,154.35,110.756,0.5534,1.946,0.3279,5064.81536220787
5849.0,2.1341,154.8,109.233,0.5311,2.044,0.3328,5398.301244790574
5849.5,2.1246,155.95,106.476,0.6427,2.0347,0.339,5851.913110577823
5850.0,2.1192,157.8,103.33,0.5669,1.9945,0.3425,6124.617053894923
5850.5,2.1177,158.2,102.61,0.5014,1.8681,0.3434,6196.771756440863
5851.0,2.1177,160.15,100.634,0.5691,1.7996,0.3434,6196.771756440863
5851.5,2.1168,162.6,99.0345,0.5922,1.8254,0.344,6245.346532080647
5852.0,2.114,164.1,100.359,0.5982,1.9031,0.3458,6393.36740640458
5852.5,2.1099,166.0,96.7634,0.4905,1.9001,0.3485,6622.002576857855
5853.0,2.1035,169.0,88.0973,0.4278,1.7735,0.3526,6984.9203193723515
5853.5,2.0918,170.5,76.2862,0.3713,1.733,0.3601,7701.041502284669
5854.0,2.0719,171.5,70.341,0.3733,1.7666,0.373,9108.709195464966
5854.5,2.0501,169.45,62.5833,0.3641,1.7934,0.387,10929.017413390366
5855.0,2.0404,167.9,57.3608,0.3646,1.6917,0.3933,11862.795515809483
5855.5,2.0437,167.5,58.5656,0.3355,1.5636,0.3912,11542.992200380631
5856.0,2.0429,163.8,57.0377,0.3369,1.4982,0.3917,11618.345024800721
5856.5,2.0261,161.2,61.2179,0.3687,1.4694,0.4025,13371.588417277493
5857.0,2.0047,160.65,57.6439,0.4305,1.4561,0.4163,16002.098317985068
5857.5,2.0001,157.0,53.3934,0.4558,1.4454,0.4193,16639.188335920175
5858.0,2.0206,151.35,47.006,0.4374,1.4291,0.4061,14012.9394052692
5858.5,2.0596,147.85,49.313,0.3479,1.4402,0.3809,10094.98175556284
5859.0,2.1027,143.6,52.1461,0.3478,1.5035,0.3531,7030.517982896406
5859.5,2.1352,139.6,54.5788,0.3167,1.605,0.3321,5349.348620371291
5860.0,2.1496,138.6,51.2407,0.329,1.6761,0.3228,4739.57906597644
5860.5,2.1481,139.15,52.5459,0.3206,1.661,0.3238,4801.661128020358
5861.0,2.1402,137.8,54.5641,0.3186,1.6124,0.3289,5131.157578928085
5861.5,2.1353,137.75,57.0102,0.3335,1.5889,0.3321,5349.348620371291
5862.0,2.1384,137.85,57.4607,0.3263,1.6046,0.3301,5211.916308974602
5862.5,2.147,138.5,55.1944,0.3108,1.6375,0.3245,4845.601788925037
5863.0,2.1544,139.3,51.1077,0.2867,1.6677,0.3197,4552.179682674777
5863.5,2.1567,141.4,52.1355,0.3242,1.6775,0.3183,4469.994286420734
5864.0,2.1529,141.4,54.1276,0.3645,1.653,0.3207,4611.807066786509
5864.5,2.1425,142.75,55.6816,0.3641,1.6162,0.3274,5031.966609490189
5865.0,2.129,145.3,55.0765,0.3534,1.5857,0.3361,5635.180603895667
5865.5,2.1188,146.4,55.562,0.351,1.5664,0.3427,6140.578478843076
5866.0,2.1155,144.3,58.8829,0.3567,1.5544,0.3448,6310.705714666737
5866.5,2.1175,141.3,57.9253,0.2964,1.5705,0.3435,6204.841236389247
5867.0,2.1213,140.7,59.1951,0.301,1.5974,0.3411,6014.04275442376
5867.5,2.1255,140.4,56.5028,0.2776,1.6186,0.3384,5806.398363725946
5868.0,2.1293,140.85,57.2003,0.2774,1.6129,0.3359,5620.5328776939305
5868.5,2.1288,142.2,54.3308,0.2715,1.5842,0.3363,5649.866503681205
5869.0,2.1207,142.3,52.6172,0.291,1.5447,0.3415,6045.430113001433
5869.5,2.1088,142.1,55.9658,0.3052,1.506,0.3492,6682.601432541698
5870.0,2.1008,142.4,57.3765,0.3135,1.491,0.3543,7141.170539387668
5870.5,2.0987,142.0,61.6389,0.3079,1.4903,0.3557,7272.4682308143065
5871.0,2.0961,141.4,58.5039,0.2973,1.483,0.3574,7435.150796851258
