Depth,GR,Log_ILD,RHOB,NPHI,PHI
8574.0,88.9935,0.7918,2.2335,0.6042,0.2443
7533.5,84.7542,0.8588,2.1782,0.5655,0.2812
9435.0,91.768,0.8246,2.307,0.4537,0.1953
6917.5,34.536,1.2843,2.0058,0.4696,0.2191
7598.0,88.7549,1.0324,2.1921,0.4661,0.2719
8256.5,97.5328,1.1424,2.264,0.4927,0.224
6668.0,85.4946,1.2967,2.1815,0.5495,0.279
9393.5,102.817,1.1139,2.3475,0.4055,0.1683
7753.5,84.5963,0.9448,2.1738,0.4204,0.2841
7615.5,88.3158,0.9396,2.1746,0.6329,0.2836
9147.0,91.4687,1.4497,2.3921,0.3451,0.1386
7066.0,72.1227,0.944,2.1129,0.5261,0.1268
6364.5,74.135,1.287,2.091,0.427,0.1457
6825.5,77.2639,1.3258,2.1492,0.4779,0.3005
6873.0,88.2728,1.5994,2.2358,0.5545,0.2428
8659.0,75.2233,0.8348,2.2451,0.5508,0.2366
9387.5,97.268,1.0663,2.2972,0.4627,0.2019
7369.5,90.1698,0.985,2.1911,0.5503,0.2726
6573.0,79.2179,0.9448,1.4241,1.0317,0.7839
8660.0,71.1213,0.8393,2.2595,0.5202,0.0004
5885.0,110.833,2.0966,2.1343,0.3782,0.3105
7645.5,95.0896,0.881,2.1661,0.6187,0.2893
6780.5,79.9142,1.4522,2.1058,0.4903,0.3295
7653.5,88.9383,1.0443,2.2517,0.5697,0.2322
8717.5,90.7097,0.8444,2.2832,0.6069,0.2112
6087.0,115.228,1.3337,2.0846,0.4426,0.3436
7279.5,79.028,0.8841,2.1154,0.4923,0.3231
6610.0,78.4994,1.1472,2.0892,0.636,0.3405
7188.0,86.5949,0.939,2.1244,0.5398,0.3171
8634.0,83.0909,0.7889,2.1781,0.4573,0.2813
8881.0,82.9528,0.8436,2.1969,0.5437,0.2687
9334.5,123.149,1.365,2.249,0.422,0.234
7782.0,48.5137,0.9332,2.2382,0.5486,0.0188
8243.0,97.3368,1.1437,2.1549,0.6282,0.2967
9157.0,87.8967,1.2674,2.3519,0.4326,0.1654
8900.0,84.4837,0.8861,2.3175,0.4369,0.1883
7687.5,39.0321,0.9332,2.2382,0.5983,0.0188
6510.0,37.2217,1.5366,2.1309,0.5166,0.1113
6366.5,112.324,1.6161,2.1087,0.4482,0.3275
7654.5,95.9235,1.0639,2.2533,0.5202,0.2311
8742.0,44.2295,66.9086,2.0588,0.31,0.1734
6276.0,103.32,1.2536,2.0067,0.5159,0.3955
7473.5,81.7449,0.9641,2.1831,0.4489,0.2779
7734.5,39.0321,0.9332,2.2382,0.5983,0.0188
7444.5,94.6764,1.1418,2.2435,0.6091,0.2377
7041.5,74.3934,0.8691,2.0865,0.8307,0.1496
11590.5,146.029,1.631,2.467,0.424,0.0887
6932.0,29.8238,1.2645,1.9694,0.4976,0.2505
8394.5,50.0298,20.5766,2.2018,0.5126,0.0502
9597.0,101.858,0.929,2.3476,0.4652,0.1683
7778.5,48.4878,0.9332,2.2382,0.5021,0.0188
9621.0,93.3189,0.7841,2.3065,0.5203,0.1957
7517.5,84.0687,0.947,2.1604,0.873,0.2931
6897.0,78.012,1.037,2.076,0.36,0.3493
7265.0,79.2615,0.9034,2.135,0.9173,0.31
8780.0,87.2517,0.9045,2.2677,0.7015,0.2215
7972.5,95.0102,1.1004,2.267,0.5816,0.222
9083.0,98.1969,0.8952,2.2883,0.4962,0.2078
11372.0,165.558,2.23,2.43,0.315,0.1133
9165.5,125.46,1.474,2.341,0.48,0.1727
8926.0,102.541,0.9274,2.2639,0.608,0.2241
9307.0,126.361,1.666,2.255,0.411,0.23
6816.0,81.9521,1.3065,2.1434,0.5704,0.3044
9032.0,94.3883,0.9251,2.2418,0.4426,0.2388
6109.0,104.293,1.1827,2.0273,0.3763,0.3818
6968.5,74.4327,0.9335,2.0774,0.5156,0.1574
6606.0,86.6347,1.187,2.0836,0.6984,0.3443
6828.0,77.6839,1.3212,2.1383,0.485,0.3078
11218.0,151.74,1.417,2.414,0.336,0.124
6467.5,114.701,1.1821,2.0498,0.5518,0.3668
9021.5,101.389,0.7338,2.2853,0.5073,0.2098
8766.0,86.957,0.8439,2.2439,0.6064,0.2374
7833.5,68.9003,0.8735,2.0975,0.5197,0.1401
8766.5,91.2169,0.849,2.2508,0.5323,0.2328
8755.5,91.5456,0.8843,2.2308,0.5113,0.2461
7784.0,45.2916,0.9332,2.2382,0.6082,0.0188
9672.5,48.1176,3.3403,2.1196,0.2801,0.121
8433.0,89.0725,0.8018,2.241,0.5021,0.2393
6244.0,101.722,1.172,2.0036,0.4994,0.3976
6344.5,99.3908,1.0258,2.1156,0.6577,0.3229
8412.5,70.221,0.827,2.1752,0.545,0.0731
7758.5,41.0158,0.9332,2.2382,0.6322,0.0188
11167.0,144.332,1.632,2.477,0.355,0.082
7251.5,85.7523,0.9607,2.1298,0.5855,0.3135
6343.5,108.939,1.3521,2.1161,0.6454,0.3226
8896.0,95.004,0.8469,2.2936,0.5438,0.2043
7068.5,67.8805,0.9307,2.1303,0.5898,0.1118
8358.0,74.8255,2.648,2.1917,0.3519,0.0589
9314.5,140.426,1.536,2.328,0.615,0.1813
9454.0,96.9028,0.7081,2.2988,0.5052,0.2008
6218.5,103.811,1.3604,1.9885,0.5615,0.4077
6995.5,72.2451,0.8722,2.0498,0.5003,0.1812
9323.0,105.404,1.157,2.22,0.463,0.2533
6374.0,111.208,1.373,2.0836,0.4598,0.3443
8889.0,117.292,0.9731,2.3027,0.573,0.1982
8404.0,87.6476,1.0341,2.259,0.452,0.2273
8029.5,99.7624,1.226,2.2538,0.6254,0.2308
7294.5,88.3219,0.9815,2.1435,0.7541,0.3043
7101.5,76.2308,0.9502,2.108,0.5669,0.328
8779.0,86.4409,0.8855,2.2702,0.6869,0.2199
8669.0,81.4338,0.7999,2.2342,0.5271,0.2439
9291.5,96.0999,1.3074,2.3281,0.3924,0.1813
8306.5,96.9356,0.9371,2.2651,0.5872,0.2233
8047.5,106.673,1.1946,2.2376,0.5378,0.2416
6664.5,77.4379,1.6481,2.2478,0.4,0.2348
8965.0,93.4331,0.8681,2.2654,0.4872,0.2231
9681.0,105.608,1.0334,2.3429,0.4876,0.1714
6923.5,90.371,1.472,2.124,0.484,0.3173
8395.5,95.0682,0.9217,2.2816,0.4447,0.2123
6277.0,106.31,1.2585,1.9994,0.4589,0.4004
6357.0,107.847,1.5017,2.0723,0.4912,0.3518
6268.0,100.462,1.205,2.0275,0.4579,0.3817
9159.0,133.278,1.693,2.296,0.623,0.2027
8971.0,87.0299,0.8787,2.2188,0.5357,0.2541
7804.5,78.4081,1.1639,2.2849,0.3699,0.2101
7583.0,91.3068,1.0058,2.1875,0.5521,0.275
6920.0,27.7212,1.3258,2.0015,0.4216,0.2228
7388.0,82.3427,0.9362,2.1629,0.5797,0.2914
7585.5,74.112,3.031,2.166,0.372,0.081
9194.0,97.1124,1.1757,2.3826,0.4318,0.1449
7743.0,79.4482,0.9618,2.1889,0.542,0.2741
6273.5,108.006,1.1956,2.0165,0.467,0.389
11612.5,154.595,1.498,2.439,0.399,0.1073
6483.5,98.9292,1.2151,2.0564,0.6542,0.3624
7767.0,39.1835,0.9332,2.2382,0.5653,0.0188
8790.0,81.7996,0.9818,2.2664,0.6918,0.2224
7986.0,95.9521,1.0974,2.2489,0.5841,0.2341
7328.0,99.9134,1.3386,2.2135,0.5952,0.2577
6751.0,91.2227,0.9495,2.0907,0.7131,0.3395
8194.0,91.6535,1.1262,2.2173,0.5845,0.2551
9405.0,127.255,1.466,2.298,0.413,0.2013
9562.5,39.843,44.0205,2.07,0.3533,0.1638
9463.0,85.5823,0.9408,2.3962,0.4455,0.1359
9057.0,109.946,0.7198,2.2874,0.5749,0.2084
8854.5,93.9232,0.893,2.2859,0.4908,0.2094
6541.5,52.254,1.0183,1.9803,0.5785,0.2411
9593.5,97.4571,0.9668,2.3905,0.4169,0.1397
5886.5,103.561,1.7049,2.0902,0.3966,0.3399
9333.0,76.6444,20.8624,1.9855,0.3587,0.4097
7033.5,74.4039,0.9161,2.1081,0.55,0.1309
9103.5,96.6207,0.8965,2.3006,0.5934,0.1996
6869.0,62.811,0.821,2.072,0.358,0.1621
11638.5,139.687,1.962,2.453,0.34,0.098
8313.0,75.7531,0.9013,2.227,0.6454,0.2487
7900.5,99.691,0.9509,2.2512,0.5312,0.2325
10972.0,138.705,1.56,2.403,0.415,0.1313
8453.5,83.2078,0.7845,2.3403,0.6946,0.1731
8122.0,72.2463,1.4505,2.1116,0.5774,0.1279
8697.0,86.4739,0.8253,2.2368,0.5674,0.2421
9319.5,92.407,2.2775,2.167,0.4196,0.2887
7494.5,87.4456,0.9374,2.1551,0.5539,0.2966
9635.0,100.974,0.9374,2.3353,0.4326,0.1765
8607.5,85.2614,0.8214,2.2698,0.6054,0.2201
9681.5,48.0733,4.9381,2.1174,0.2783,0.1229
9188.5,98.069,1.1981,2.2755,0.5134,0.2163
11227.5,159.83,1.52,2.425,0.354,0.1167
7063.0,72.4984,0.9351,2.1063,0.5592,0.1325
6509.0,41.2352,1.5008,2.0655,0.5166,0.1677
8334.5,87.7461,0.7969,2.2402,0.4942,0.2399
8203.5,98.7632,1.0659,2.2427,0.4303,0.2382
7269.0,76.0239,0.8795,2.1449,0.7549,0.3034
6337.0,120.628,0.6262,2.0616,0.4388,0.3589
6679.0,80.297,1.224,2.2204,0.5478,0.2531
6597.0,83.0386,1.1866,2.0748,0.491,0.3501
8121.0,42.7491,1.759,2.226,0.414,0.0293
7742.0,83.3282,0.9596,2.1849,0.6156,0.2767
11298.0,158.892,2.35,2.425,0.299,0.1167
9153.0,131.691,1.546,2.312,0.671,0.192
8095.0,97.977,1.1971,2.1311,0.4127,0.3126
11366.5,157.32,2.024,2.446,0.354,0.1027
8564.0,97.0116,0.8074,2.2407,0.4589,0.2395
7226.5,63.526,2.5743,2.3384,0.3068,-0.0676
6864.0,83.8278,1.8634,2.2613,0.4986,0.2258
6049.0,108.885,1.3038,1.966,0.4948,0.4227
5771.0,81.6789,1.3814,1.8794,0.5434,0.4804
11685.0,140.825,1.119,2.384,0.423,0.144
7327.0,102.965,1.3344,2.2309,0.5991,0.2461
7383.0,85.1188,0.9464,2.167,0.5677,0.2887
8434.0,69.2482,1.482,2.2128,0.4119,0.0407
9534.0,89.3677,0.7566,2.2791,0.5833,0.2139
6958.0,34.003,1.5721,2.0743,0.5784,0.1601
7517.0,83.6031,0.944,2.163,0.7726,0.2913
7006.5,82.0402,0.8907,2.0528,0.6111,0.3648
7817.0,84.1276,1.5508,2.2313,0.4495,0.2458
11371.0,162.033,2.203,2.431,0.319,0.1127
7087.5,83.3562,0.9726,2.088,0.506,0.3413
11292.5,160.429,2.13,2.445,0.339,0.1033
9358.0,66.6613,3.8267,2.2169,0.3452,0.0372
7088.5,78.4447,0.9848,2.0888,0.4628,0.3408
7166.0,86.1237,0.9075,2.1252,0.857,0.3165
8876.0,86.5439,0.8272,2.2747,0.7488,0.2169
8065.0,92.2725,1.2925,2.1111,0.4614,0.3259
7045.5,79.8749,0.8829,2.0647,0.8665,0.3569
7748.0,39.0321,0.9332,2.2382,0.5983,0.0188
9788.5,56.0707,1.801,2.1473,0.3393,0.0972
5797.5,91.6391,1.3746,1.432,0.725,0.7787
6794.0,75.3369,1.3007,2.1226,0.4446,0.3183
6439.0,103.701,1.3466,2.0637,0.4828,0.3575
11241.0,154.827,1.648,2.475,0.386,0.0833
8743.0,89.7342,0.81,2.245,0.5318,0.2367
9066.5,86.4534,0.8854,2.2789,0.5509,0.2141
7224.5,54.9834,2.6524,2.3521,0.3316,-0.0794
9496.0,94.0496,1.0253,2.3379,0.5351,0.1747
9193.5,92.3666,1.2325,2.3893,0.376,0.1405
7022.0,87.5731,0.9224,2.0656,0.5581,0.3563
5944.5,107.585,1.846,2.0812,0.5401,0.3459
11161.0,148.551,1.577,2.464,0.391,0.0907
7150.0,89.9373,0.9269,2.1145,0.826,0.3237
5834.5,102.304,1.4288,1.9344,0.4697,0.4437
6560.5,78.9586,1.1957,1.8151,0.9246,0.5233
7237.0,82.612,0.9191,2.1507,0.5294,0.2995
7786.0,46.8198,0.9332,2.2382,0.515,0.0188
7081.0,75.9324,0.955,2.1158,0.6357,0.3228
8404.5,70.561,2.565,2.2046,0.4946,0.0478
8392.5,50.3138,16.4677,2.2012,0.4995,0.0507
8651.0,97.4747,0.7628,2.2374,0.5048,0.2417
8610.5,93.9141,0.8095,2.2371,0.5357,0.2419
9660.0,111.079,1.0332,2.3599,0.4464,0.1601
6870.5,84.8566,1.5786,2.2215,0.4517,0.2523
8154.0,91.8472,0.8304,2.2022,0.4423,0.2652
5934.5,58.2463,1.2122,2.0654,0.4007,0.1678
6814.0,81.2214,1.3333,2.141,0.4597,0.306
8640.0,80.5008,0.7738,2.2215,0.6265,0.2523
6307.0,108.277,1.5763,2.0974,0.4477,0.3351
8534.0,89.1917,0.7817,2.1994,0.5901,0.2671
8866.0,87.7333,0.911,2.2761,0.6902,0.2159
8825.0,102.252,1.0286,2.3015,0.6946,0.199
8903.5,92.5476,0.8368,2.2928,0.6686,0.2048
7532.0,89.6999,0.7844,2.2085,0.7992,0.261
7272.0,79.1928,0.8854,2.1255,0.627,0.3163
8948.0,89.6695,1.373,2.2708,0.5923,0.2195
8605.0,81.516,0.7915,2.1931,0.4684,0.2713
7888.5,80.5203,0.9411,2.2387,0.55,0.2409
6986.0,80.5278,0.8406,2.0976,0.7578,0.3349
6790.0,89.7797,1.3458,2.1487,0.4878,0.3009
8239.5,96.0499,1.3421,2.2508,0.4229,0.2328
6122.5,112.655,1.3005,2.0306,0.5907,0.3796
7799.5,36.0487,1.1314,2.0889,0.4119,0.1475
8331.5,85.4424,0.8049,2.2193,0.5951,0.2538
8518.0,79.7816,0.785,2.2257,0.6491,0.2495
9362.5,137.576,1.551,2.36,0.374,0.16
8657.0,93.0966,0.831,2.2375,0.7421,0.2417
6271.5,100.484,1.1587,2.0303,0.5994,0.3798
9474.0,96.6876,1.6611,2.335,0.3849,0.1767
7259.5,84.2995,0.9464,2.1179,0.5581,0.3214
7697.5,39.0321,0.9332,2.2382,0.5983,0.0188
8945.5,108.34,0.3721,2.2813,0.5135,0.2125
9170.0,120.24,1.498,2.329,0.387,0.1807
8599.0,80.7606,0.772,2.1763,0.7745,0.2825
5811.5,88.4516,1.3028,1.6762,0.5853,0.6159
8631.5,63.5052,0.7507,2.2132,0.4627,0.0403
8461.0,97.7757,0.8159,2.2214,0.4667,0.2524
6556.0,75.3494,0.9041,1.8619,0.7238,0.4921
8985.0,86.6754,0.8701,2.2623,0.6908,0.2251
7210.0,87.4372,1.0613,2.1587,0.4197,0.2942
6529.0,39.1768,1.4375,2.1068,0.5166,0.1321
9623.5,101.439,0.9299,2.3333,0.5479,0.1778
9645.0,114.584,1.0373,2.3614,0.4276,0.1591
7054.0,67.8247,0.9321,2.0552,0.7521,0.1766
8740.0,79.0289,0.8251,2.2295,0.4935,0.247
11153.0,155.5,1.077,2.403,0.362,0.1313
7918.0,92.9802,1.1638,2.2549,0.6273,0.2301
8702.5,65.1244,3.965,2.1325,0.3231,0.1099
6386.5,63.796,0.862,2.098,0.404,0.1397
6402.0,100.29,1.4154,1.855,0.5122,0.4967
5957.0,52.6412,1.3975,2.126,0.3156,0.1155
9336.5,79.4689,3.9556,2.1152,0.4247,0.3232
7131.5,79.4002,0.9654,2.1142,0.4818,0.3239
9532.5,87.579,0.7242,2.2751,0.5079,0.2166
8895.5,105.338,0.8646,2.2927,0.6507,0.2049
8378.5,88.5152,0.894,2.2302,0.4906,0.2465
6878.5,89.1525,1.5603,2.2412,0.4482,0.2392
7726.5,87.8556,0.9962,2.1927,0.4557,0.2715
8371.5,86.2633,0.9023,2.2174,0.5643,0.2551
10822.5,71.722,3.6057,2.1584,0.209,0.0876
6755.0,101.441,0.9846,2.0968,0.924,0.3355
6061.5,108.59,1.5031,2.0555,0.37,0.363
7541.0,87.0959,1.2615,2.21,0.5207,0.26
5892.5,50.6671,1.4972,2.0993,0.3146,0.1385
6903.0,70.707,0.954,2.047,0.333,0.1836
7403.0,92.8289,1.0278,2.1862,0.7423,0.2759
8605.5,85.0885,0.8099,2.2009,0.4508,0.2661
6572.0,80.1747,1.1576,1.4511,1.312,0.7659
8250.0,95.33,0.7359,2.2736,0.6014,0.2176
6368.5,108.859,1.4866,2.1033,0.4659,0.3311
5808.0,78.7001,1.1337,1.4783,1.0203,0.7478
6350.0,112.382,1.3146,2.0998,0.5694,0.3335
11185.5,152.572,1.24,2.44,0.376,0.1067
8863.5,79.7264,0.9742,2.311,0.7321,0.1927
11576.0,155.542,1.684,2.485,0.39,0.0767
7193.5,82.0914,0.9285,2.1305,0.7278,0.313
10974.0,144.745,1.585,2.336,0.391,0.176
7974.0,99.8985,1.1477,2.267,0.5265,0.222
7207.0,79.3778,1.0201,2.1742,0.5506,0.2839
7472.0,76.2506,0.9636,2.1779,0.7715,0.2814
6451.5,111.32,1.3091,2.1132,0.4907,0.3245
6183.5,114.354,1.377,2.0211,0.5726,0.3859
8211.5,85.9413,0.9708,2.248,0.5193,0.2347
8283.5,96.8612,2.1006,2.2065,0.7693,0.2623
8568.0,87.2196,0.8222,2.2385,0.4721,0.241
8384.0,85.0526,0.8909,2.2039,0.5198,0.2641
6478.0,103.34,0.7724,2.0462,0.5154,0.3692
9052.5,93.2818,0.8781,2.2852,0.423,0.2099
6216.5,106.727,1.5078,2.0745,0.4684,0.3503
8969.0,96.817,0.8511,2.2453,0.5082,0.2365
6383.0,66.905,2.335,2.206,0.372,0.0466
7444.0,81.321,1.32,2.149,0.402,0.3007
11308.5,148.109,2.155,2.461,0.364,0.0927
8688.5,83.0444,0.7586,2.1891,0.5182,0.2739
5786.5,91.7307,1.5749,1.9611,0.6816,0.4259
6745.0,74.7845,1.5331,2.1869,0.4011,0.063
6842.5,86.585,1.537,2.118,0.466,0.3213
9196.0,93.0018,1.2631,2.3441,0.4505,0.1706
8749.0,92.987,0.9091,2.2342,0.4769,0.2439
9164.0,94.982,0.9756,2.3006,0.5774,0.1996
6126.0,109.635,1.2084,2.0219,0.5036,0.3854
7540.0,94.7608,1.186,2.2171,0.4536,0.2553
6313.0,102.138,1.389,2.0956,0.4547,0.3363
5915.5,97.1332,1.4881,2.0526,0.4413,0.3649
6691.0,90.0231,1.5049,2.1904,0.4904,0.2731
9098.0,98.3456,1.1801,2.3232,0.5513,0.1845
6126.5,109.784,1.0911,2.0272,0.5329,0.3819
6223.5,115.695,1.289,1.9829,0.5999,0.4114
7711.5,39.0321,0.9332,2.2382,0.5983,0.0188
8167.0,94.421,0.9216,2.2181,0.5077,0.2546
8881.5,85.0318,0.8453,2.215,0.6046,0.2567
9209.0,91.4282,1.2997,2.3608,0.4029,0.1595
6087.5,111.801,1.3131,2.0775,0.4745,0.3483
11140.5,162.206,0.849,2.352,0.551,0.1653
6859.0,91.625,1.284,2.127,0.401,0.3153
8603.5,88.6162,0.7464,2.1948,0.7593,0.2701
6772.5,83.6353,1.3786,2.2074,0.524,0.2617
7474.0,84.9201,0.9804,2.1761,0.5424,0.2826
6607.0,82.94,1.219,2.1043,0.545,0.3305
6724.0,83.8213,0.8268,2.1609,0.6522,0.2927
9308.5,83.5994,2.1894,2.1584,0.5153,0.2944
8340.0,65.8134,18.4451,1.9938,0.3223,0.2295
8319.5,76.0181,0.9721,2.2067,1.0396,0.2622
11244.0,162.374,1.659,2.469,0.37,0.0873
7581.5,87.4697,0.9462,2.1921,0.4229,0.2719
8372.5,73.8794,1.5677,2.1957,0.3979,0.0554
6871.0,91.346,1.387,2.136,0.438,0.3093
11383.5,154.227,1.857,2.468,0.299,0.088
6882.5,62.0713,1.6491,2.1871,0.4593,0.0628
8615.5,83.0489,0.862,2.2169,0.3559,0.2554
8938.0,100.582,0.8389,2.3081,0.5071,0.1946
11258.0,150.715,1.491,2.29,0.45,0.2067
6953.0,28.0822,1.3546,1.9057,0.7736,0.3054
8377.5,76.5833,0.9273,2.2212,0.4367,0.2525
7673.5,91.5599,0.7585,2.2585,0.4737,0.2277
6024.5,104.963,1.391,1.9406,0.5225,0.4396
8648.0,91.9741,0.8124,2.2519,0.4589,0.2321
7601.5,83.9651,0.9671,2.1517,0.6652,0.2989
6279.0,111.74,1.3068,2.057,0.4809,0.362
8998.5,94.6188,0.7617,2.2818,0.4412,0.2121
6487.0,104.429,1.3107,2.0526,0.6965,0.3649
6261.5,106.754,1.1418,1.9814,0.5309,0.4124
6266.5,104.248,1.1821,2.0182,0.5317,0.3879
9136.5,93.559,1.0899,2.3114,0.6915,0.1924
