Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
6421.0,115.025,1.5212,2.0885,0.5808,0.341,5618.333505825569,freeman_3
6421.5,110.908,1.5437,2.0851,0.5225,0.3433,6246.009922161114,freeman_3
6422.0,108.066,1.5507,2.0781,0.5493,0.3479,7719.567667327968,freeman_3
6422.5,111.208,1.544,2.0713,0.4739,0.3525,9540.766939709994,freeman_3
6423.0,110.846,1.541,2.0676,0.4583,0.3549,10655.607889970175,freeman_3
6423.5,107.771,1.4897,2.0661,0.4775,0.3559,11157.737090775065,freeman_3
6424.0,104.548,1.4205,2.064,0.4989,0.3573,11900.718277921396,freeman_3
6424.5,105.83,1.3959,2.0638,0.5069,0.3575,12010.82261518448,freeman_3
6425.0,108.655,1.4207,2.0683,0.5029,0.3545,10461.14142688557,freeman_3
6425.5,113.912,1.4287,2.0686,0.551,0.3543,10365.243162401468,freeman_3
6426.0,113.288,1.3826,2.0585,0.5166,0.361,14111.246527649326,freeman_3
6426.5,113.539,1.3427,2.0442,0.4665,0.3705,21854.725923423903,freeman_3
6427.0,109.111,1.327,2.0336,0.4582,0.3776,30306.12471240254,freeman_3
6427.5,109.08,1.2931,2.025,0.4593,0.3833,39402.01184400069,freeman_3
6428.0,109.406,1.2575,2.018,0.4785,0.388,48922.48347170921,freeman_3
6428.5,111.471,1.2265,2.023,0.4403,0.3847,42025.74757980785,freeman_3
6429.0,109.046,1.1814,2.0449,0.4742,0.3701,21455.87385455117,freeman_3
6429.5,105.795,1.155,2.0732,0.4924,0.3512,8986.40579555206,freeman_3
6430.0,102.809,1.1954,2.0959,0.4684,0.3361,4483.506862820511,freeman_3
6430.5,103.944,1.322,2.1108,0.4174,0.3261,2829.0388208537192,freeman_3
6431.0,108.192,1.4671,2.1194,0.4179,0.3204,2175.96004134178,freeman_3
6431.5,110.638,1.4502,2.1203,0.521,0.3198,2116.665250173712,freeman_3
6432.0,112.787,1.3949,2.1141,0.5698,0.3239,2556.4867254694914,freeman_3
6432.5,113.56,1.2761,2.1078,0.5137,0.3281,3101.9492871083644,freeman_3
6433.0,113.527,1.0727,2.1079,0.51,0.3281,3101.9492871083644,freeman_3
6433.5,114.609,0.9408,2.1139,0.4749,0.3241,2580.1391025828875,freeman_3
6434.0,109.552,0.9284,2.1198,0.534,0.3201,2146.1078736342,freeman_3
6434.5,113.101,1.0247,2.1226,0.4785,0.3183,1975.4013223821632,freeman_3
6435.0,114.199,1.2079,2.1212,0.4793,0.3192,2058.9862387961107,freeman_3
6435.5,117.682,1.3551,2.1106,0.4602,0.3263,2855.212824572435,freeman_3
6436.0,117.557,1.3973,2.09,0.5653,0.34,5365.492872444086,freeman_3
6436.5,114.553,1.3682,2.0721,0.6329,0.3519,9280.781566575792,freeman_3
6437.0,112.208,1.3409,2.07,0.7334,0.3533,9898.778392444816,freeman_3
6437.5,107.324,1.3254,2.0772,0.6999,0.3485,7935.818277907219,freeman_3
6438.0,105.634,1.3264,2.0779,0.5056,0.3481,7790.988388507958,freeman_3
6438.5,102.373,1.3438,2.0701,0.4741,0.3533,9898.778392444816,freeman_3
6439.0,103.701,1.3466,2.0637,0.4828,0.3575,12010.82261518448,freeman_3
6439.5,106.335,1.3464,2.0631,0.4899,0.3579,12234.096739622604,freeman_3
6440.0,110.05,1.3368,2.0654,0.4711,0.3564,11417.606480579952,freeman_3
6440.5,111.374,1.3127,2.0687,0.4841,0.3542,10317.624201222048,freeman_3
6441.0,112.733,1.2938,2.0746,0.4723,0.3503,8621.601037205388,freeman_3
6441.5,113.133,1.2783,2.0858,0.4966,0.3428,6103.848183626178,freeman_3
6442.0,112.614,1.2938,2.1004,0.4551,0.3331,3905.028063696635,freeman_3
6442.5,109.453,1.3126,2.1111,0.4764,0.3259,2803.1047566816424,freeman_3
6443.0,107.066,1.2685,2.1121,0.47,0.3253,2726.7203065944163,freeman_3
6443.5,110.05,1.1231,2.1074,0.4443,0.3284,3145.097123000869,freeman_3
6444.0,111.8,0.9672,2.1035,0.4255,0.331,3545.1007621486533,freeman_3
6444.5,113.3,0.8878,2.0997,0.4392,0.3335,3977.620237418841,freeman_3
6445.0,114.105,0.9107,2.0938,0.476,0.3375,4782.05855160973,freeman_3
6445.5,113.242,1.0,2.0869,0.5007,0.3421,5910.241104052389,freeman_3
6446.0,113.976,1.0445,2.0804,0.5369,0.3464,7204.372149543601,freeman_3
6446.5,114.282,1.0627,2.0768,0.499,0.3488,8046.204797168187,freeman_3
6447.0,112.407,1.1598,2.0809,0.652,0.3461,7105.534798880026,freeman_3
6447.5,111.33,1.1174,2.0951,0.6378,0.3366,4587.930025254629,freeman_3
6448.0,110.517,0.9236,2.1108,0.6638,0.3261,2829.0388208537192,freeman_3
6448.5,113.528,0.8823,2.1128,0.6024,0.3248,2664.659038022188,freeman_3
6449.0,108.691,1.0035,2.1017,0.4804,0.3322,3746.502747622111,freeman_3
6449.5,104.772,1.2393,2.0967,0.5115,0.3355,4361.3315479798985,freeman_3
6450.0,103.278,1.3493,2.108,0.508,0.328,3087.6986226165614,freeman_3
6450.5,105.871,1.3703,2.1195,0.5474,0.3203,2165.963463826597,freeman_3
6451.0,109.136,1.338,2.1169,0.4977,0.3221,2353.137659195619,freeman_3
6451.5,111.32,1.3091,2.1132,0.4907,0.3245,2628.102370172031,freeman_3
6452.0,110.916,1.3733,2.1256,0.4508,0.3163,1801.6048976076256,freeman_3
6452.5,109.996,1.5366,2.1465,0.4358,0.3023,945.5599068459552,freeman_3
6453.0,108.575,1.6258,2.1592,0.3738,0.2939,642.2538945178883,freeman_3
6453.5,107.562,1.5167,2.1603,0.3513,0.2931,619.0253464400323,freeman_3
6454.0,110.382,1.4332,2.159,0.3673,0.294,645.2180907973724,freeman_3
6454.5,105.271,1.4364,2.1604,0.4036,0.2931,619.0253464400323,freeman_3
6455.0,101.958,1.5564,2.1616,0.4312,0.2923,596.6369107389328,freeman_3
6455.5,100.925,1.6625,2.1568,0.4749,0.2955,691.3586095646117,freeman_3
6456.0,104.688,1.6616,2.1399,0.4784,0.3067,1157.9232632483518,freeman_3
6456.5,108.033,1.6113,2.1118,0.5235,0.3255,2751.947668947534,freeman_3
6457.0,105.789,1.5186,2.081,0.5445,0.346,7072.891263128316,freeman_3
6457.5,103.297,1.4806,2.0583,0.7242,0.3611,14176.374205057218,freeman_3
6458.0,102.889,1.5001,2.0537,0.6761,0.3642,16351.539106919156,freeman_3
6458.5,105.354,1.5538,2.0716,0.611,0.3523,9453.305834460576,freeman_3
