Depth,Log_ILD,NPHI,RHOB,vshale,Facies,velocity,Actual Permeability,rf_Permeability,dt_Permeability,gb_Permeability,nn_pore pressure
7874.0,1.278,0.2075,2.2888,104.966,2,5730.2751,4115842.7659982163,4117390.3263838957,4116541.2336776694,4118182.0556188114,4062667.4741934957
8053.5,0.8161,0.246,2.231,114.192,2,5062.4171,3520928.541811256,3516239.1948662344,3521581.7829399672,3519650.027321388,3795026.8207180845
9919.0,0.9946,0.1539,2.3691,119.6938,2,6233.4482,4666715.817202804,4664633.27230735,4665512.193367542,4657806.345885976,4669698.52833967
8471.0,1.6091,0.1712,2.3432,89.8796,2,6021.302,4449777.00695609,4449772.437417259,4452826.859262126,4448169.002061057,4301930.759220959
9855.0,0.8902,0.1909,2.3136,105.6276,2,6104.8633,4443318.282026783,4445368.492411478,4443679.847296823,4442275.279577891,4597375.203681649
9822.5,1.4233,0.1311,2.4033,121.0498,2,6901.2353,5252899.774668986,5251982.937218206,5255216.59079667,5243605.50443356,4954351.711288565
7758.0,0.9332,0.0188,2.2382,41.03,0,5142.333,4212764.933551514,4212764.93355151,4212764.933551515,4213011.395183619,3764286.26322731
7938.0,0.8515,0.2597,2.2104,107.0849,2,5122.4626,3520199.743501566,3522476.679201014,3519606.4859748576,3518378.039423667,3799733.9630555473
8526.5,0.9793,0.1767,2.335,110.4871,2,5736.9327,4221844.055313635,4219575.805626118,4221564.525563073,4230344.436071633,4186837.395119606
9820.5,1.2122,0.1502,2.3747,109.9302,2,6465.9399,4853995.413846999,4854566.946453696,4855577.523584436,4858038.63228424,4755149.860142996
9647.0,1.0428,0.1539,2.3692,110.177,2,6051.6286,4530595.267394011,4530605.731841903,4529537.7163330205,4530038.737960812,4535720.31551968
11242.5,1.0028,0.1283,2.4076,126.6451,2,6289.2175,4796603.826665172,4794765.367546399,4796603.826665172,4788811.192018492,4940030.30679272
7856.5,0.8254,0.2435,2.2348,100.2146,2,5130.6916,3576121.9230608805,3575594.636281174,3573188.8952776347,3573885.002018398,3787298.6407620674
8530.0,0.9826,0.1795,2.3307,111.047,2,5553.8765,4078335.3548291996,4076430.3159211753,4078335.3548291996,4078239.382427566,4104741.9869213672
9609.5,1.4283,0.1431,2.3854,109.6165,2,6586.1126,4969931.906434063,4972658.629300027,4970972.12888007,4981027.532972651,4770605.690524063
8174.0,0.9082,0.2219,2.2672,105.2385,2,5273.5593,3743402.9175135377,3740770.406187885,3743402.9175135377,3749198.5880609625,3911308.290005536
11198.5,1.054,0.121,2.4185,108.0657,2,6781.0231,5198398.7957500955,5198486.476110034,5198398.7957500955,5201995.092993209,5151393.23617717
9499.5,1.1989,0.1393,2.391,118.6977,2,6492.7996,4913024.133036788,4912015.90649876,4909775.898376944,4919520.450144087,4709590.095826105
8166.5,0.8494,0.2222,2.2667,102.538,2,5170.0128,3668988.189454123,3669861.255880069,3669385.240900162,3669026.479180926,3862618.8143555615
8952.0,0.8865,0.1965,2.3053,90.2573,2,5517.7625,3998282.0506392834,3998553.4597923225,3997951.7499914696,4005289.4997991323,4162729.6995969797
8300.0,1.0973,0.2077,2.2884,98.9381,2,5656.7049,4062342.8516692417,4062960.489432426,4060745.476463479,4074937.7670580144,4106881.5326968804
10170.5,1.3084,0.1443,2.3835,124.0852,2,6556.2938,4943113.888843251,4943259.467134707,4944135.183911898,4941460.549424532,4862897.622918542
8133.0,0.8453,0.2541,2.2189,112.8578,2,5253.4092,3628066.603426788,3628055.5621598456,3628372.655200121,3623842.368063185,3895884.6581660104
10525.0,1.5166,0.1371,2.3944,118.9946,2,6585.9163,4991395.478028866,4991831.578802091,4989504.80121485,5000411.323891214,4940818.42042934
8572.0,0.8868,0.1859,2.3212,121.0444,2,5508.5251,4025008.289515835,4024322.388156505,4026697.65092514,4023781.269841555,4093607.102644168
