DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
6303.5,2.0765,166.45,107.157,0.614,1.4776,0.349,8120.647534655639
6304.0,2.0766,165.7,105.564,0.6019,1.5155,0.3489,8083.340469722787
6304.5,2.0716,164.4,103.661,0.5042,1.529,0.3523,9453.305834460576
6305.0,2.0729,163.55,105.192,0.5269,1.5474,0.3514,9069.547185121128
6305.5,2.0768,161.45,106.322,0.4373,1.534,0.3488,8046.204797168187
6306.0,2.0805,160.65,110.333,0.4464,1.5317,0.3463,7171.274545142421
6306.5,2.087,161.2,109.989,0.4192,1.5398,0.342,5883.088866783537
6307.0,2.0974,160.95,108.277,0.4477,1.5763,0.3351,4281.736584535974
6307.5,2.1065,160.55,106.412,0.4506,1.6138,0.329,3233.201690832892
6308.0,2.1103,159.65,107.833,0.4897,1.6113,0.3265,2881.6289877361296
6308.5,2.1077,158.9,110.502,0.4753,1.6077,0.3282,3116.2657227337136
6309.0,2.1009,159.1,112.26,0.4903,1.6191,0.3327,3833.76070817504
6309.5,2.0935,158.65,111.123,0.4214,1.5937,0.3377,4826.301712004116
6310.0,2.0883,158.9,113.12,0.487,1.5264,0.3411,5644.263816901955
6310.5,2.0889,158.6,116.848,0.4702,1.4612,0.3407,5541.255144611902
6311.0,2.0959,158.5,117.059,0.6188,1.3636,0.3361,4483.506862820511
6311.5,2.103,159.2,117.552,0.5469,1.2568,0.3313,3594.4127952445037
6312.0,2.1042,160.6,110.618,0.4877,1.178,0.3305,3464.412819940869
6312.5,2.1005,158.8,107.147,0.4373,1.2299,0.333,3887.0879751858092
6313.0,2.0956,158.4,102.138,0.4547,1.389,0.3363,4524.98785079258
6313.5,2.0901,158.0,103.602,0.4454,1.4912,0.3399,5340.843262898178
6314.0,2.0846,158.45,109.443,0.5056,1.5179,0.3436,6332.891359012583
6314.5,2.0824,158.5,109.469,0.4921,1.5562,0.3451,6785.765971130659
6315.0,2.0859,157.85,108.791,0.5453,1.5864,0.3427,6075.8064961185
6315.5,2.0935,158.5,105.494,0.464,1.612,0.3377,4826.301712004116
6316.0,2.0977,159.1,106.61,0.464,1.63,0.3349,4242.485503733263
6316.5,2.0939,160.1,107.034,0.433,1.6378,0.3374,4760.089297540224
6317.0,2.0894,161.75,104.608,0.5643,1.618,0.3404,5465.234227524903
6317.5,2.0916,161.4,109.886,0.5163,1.6033,0.3389,5100.490462199877
6318.0,2.0949,160.9,108.043,0.6711,1.6107,0.3367,4609.104712130762
6318.5,2.0907,162.05,112.412,0.5267,1.6317,0.3395,5243.372061822712
6319.0,2.0844,161.65,109.217,0.5472,1.6573,0.3437,6362.119571040545
6319.5,2.0877,161.35,110.206,0.449,1.6809,0.3415,5749.187359792639
6320.0,2.0952,161.1,106.932,0.4517,1.6806,0.3365,4566.852617002503
6320.5,2.0955,161.1,111.072,0.4424,1.6483,0.3363,4524.98785079258
6321.0,2.0896,160.9,112.2,0.4232,1.616,0.3403,5440.126396243062
6321.5,2.0847,160.65,111.403,0.3785,1.6109,0.3435,6303.797424306624
6322.0,2.0845,158.95,104.707,0.3887,1.6045,0.3437,6362.119571040545
