Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,Facies,velocity,Facies_code
9424.0,122.5109,1.2123,110.8724,2.3943,0.3689,0.165,1.6981588579361258,3.0,824878.3304462592,2
9424.5,121.8824,1.1641,110.8398,2.4002,0.3738,0.1612,1.4255626909344108,3.0,859032.7291469806,2
9425.0,117.9613,1.1658,110.2995,2.4021,0.3809,0.1599,1.342731135629766,3.0,857780.065191285,2
9425.5,124.5606,1.2144,110.1563,2.3952,0.3947,0.1644,1.6518841226751595,3.0,823451.9104084322,2
9426.0,128.6729,1.293,110.1823,2.389,0.4023,0.1684,1.9859629938511096,3.0,773395.2049497294,2
9426.5,134.4525,1.304,110.2995,2.3909,0.429,0.1672,1.8792029253332625,3.0,766871.1656441718,2
9427.0,132.0434,1.2571,110.9147,2.3987,0.4132,0.1621,1.485882352065805,3.0,795481.6641476413,2
9427.5,125.6689,1.2529,110.944,2.4054,0.3851,0.1578,1.2189713094598666,3.0,798148.2959533882,2
9428.0,122.5507,1.2686,110.7292,2.4049,0.3841,0.1581,1.2359270908573348,3.0,788270.5344474224,2
9428.5,119.6784,1.2564,110.8984,2.4043,0.3782,0.1585,1.2589022481735097,3.0,795924.864692773,2
9429.0,123.4658,1.2479,111.1523,2.4047,0.382,0.1583,1.2473617732072937,3.0,801346.2617196891,2
9429.5,120.1121,1.2724,110.4232,2.4052,0.3798,0.1579,1.2245972313127995,3.0,785916.3784973279,2
9430.0,120.0383,1.248,110.1628,2.4071,0.3825,0.1567,1.1587661535301277,3.0,801282.0512820513,2
9430.5,121.7308,1.2247,109.2025,2.4082,0.4203,0.156,1.1220114171499305,3.0,816526.4962848045,2
9431.0,124.3683,1.228,108.3854,2.4074,0.4037,0.1565,1.1481436355340606,3.0,814332.2475570033,2
9431.5,128.2704,1.2206,108.8086,2.4028,0.4039,0.1595,1.3182260883799302,3.0,819269.2118630182,2
9432.0,121.3022,1.2556,108.7435,2.3996,0.3685,0.1615,1.4453921398872176,3.0,796431.9847085059,2
9432.5,119.1643,1.265,109.0885,2.4013,0.375,0.1605,1.3803454736907792,3.0,790513.833992095,2
9433.0,118.7867,1.2391,109.5996,2.406,0.3677,0.1574,1.1967248978426237,3.0,807037.3658300379,2
9433.5,123.0292,1.2331,109.2285,2.4077,0.385,0.1563,1.1376184951566208,3.0,810964.2364771713,2
9434.0,121.9919,1.2962,108.942,2.4057,0.3974,0.1576,1.2077968851534795,3.0,771485.8818083629,2
9434.5,119.7375,1.3527,108.7533,2.3997,0.409,0.1615,1.4453921398872176,3.0,739262.2163081245,2
9435.0,116.5172,1.3255,109.6224,2.3931,0.4162,0.1657,1.7537869738368368,3.0,754432.2897019993,2
9435.5,118.952,1.3111,110.6413,2.3897,0.4187,0.1679,1.940761664459968,3.0,762718.3281214248,2
