DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
7753.5,2.2382,137.507,36.3887,0.6023,0.9332,
7754.0,2.2382,137.507,33.253,0.5853,0.9332,
7754.5,2.2382,137.507,33.9191,0.6019,0.9332,
7755.0,2.2382,137.507,39.2279,0.5749,0.9332,
7755.5,2.2382,137.507,41.66,0.5941,0.9332,
7756.0,2.2382,137.507,39.2916,0.559,0.9332,
7756.5,2.2382,137.507,35.6284,0.5703,0.9332,
7757.0,2.2382,137.507,37.3668,0.5627,0.9332,
7757.5,2.2382,137.507,38.5975,0.5789,0.9332,
7758.0,2.2382,137.507,41.03,0.5719,0.9332,
7758.5,2.2382,137.507,41.0158,0.6322,0.9332,
7759.0,2.2382,137.507,41.396,0.6012,0.9332,
7759.5,2.2382,137.507,38.3523,0.6159,0.9332,
7760.0,2.2382,137.507,37.921,0.6201,0.9332,
7760.5,2.2382,137.507,38.9359,0.6569,0.9332,
7761.0,2.2382,137.507,41.5505,0.6206,0.9332,
7761.5,2.2382,137.507,42.4095,0.578,0.9332,
7762.0,2.2382,137.507,43.1519,0.5955,0.9332,
7762.5,2.2382,137.507,41.9945,0.6218,0.9332,
7763.0,2.2382,137.507,40.7992,0.6274,0.9332,
7763.5,2.2382,137.507,38.8107,0.5824,0.9332,
7764.0,2.2382,137.507,40.6653,0.597,0.9332,
7764.5,2.2382,137.507,42.8566,0.6091,0.9332,
7765.0,2.2382,137.507,43.9829,0.6038,0.9332,
7765.5,2.2382,137.507,41.8767,0.5856,0.9332,
7766.0,2.2382,137.507,39.3093,0.5447,0.9332,
7766.5,2.2382,137.507,38.9729,0.5785,0.9332,
7767.0,2.2382,137.507,39.1835,0.5653,0.9332,
7767.5,2.2382,137.507,41.4101,0.5588,0.9332,
7768.0,2.2382,137.507,42.5559,0.545,0.9332,
7768.5,2.2382,137.507,43.3257,0.5932,0.9332,
7769.0,2.2382,137.507,43.7204,0.6144,0.9332,
7769.5,2.2382,137.507,44.2192,0.6087,0.9332,
7770.0,2.2382,137.507,44.0502,0.6243,0.9332,
