Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
6975.0,68.1619,0.988,154.3,2.09,0.5218,0.3613,7822.247355387702,6480.881399870382,0.4336,0.16936349596979838,0.33860529154004704,5.533189856656854,0.052598430854241526,3771.790794936672,0
6975.5,70.6034,0.978,154.6,2.0906,0.4448,0.3609,7781.634912924966,6468.30530401035,0.4621,0.18850019638378201,0.3356409736845732,5.546383472737964,0.05266110268850228,3764.1202461337043,0
6976.0,72.3916,0.9675,155.2,2.0754,0.6003,0.3707,8840.113641784723,6443.298969072165,0.483,0.20344998089971217,0.34343770255943856,5.235921533808515,0.05116601183309344,3954.4945875366375,0
6976.5,74.0447,0.9713,155.2,2.0554,0.6387,0.3836,10455.99149076022,6443.298969072165,0.5022,0.21790816239820532,0.3544003062386405,4.864662360092604,0.049318669690557364,4212.864379157859,0
6977.0,74.7981,0.9665,154.1,2.0461,0.8408,0.3896,11305.131730870482,6489.2926670992865,0.511,0.22477653443074,0.35947994438628084,4.705014333941884,0.04850265113342715,4336.047288886799,0
6977.5,70.2994,0.9376,155.7,2.0496,0.7195,0.3874,10986.05608146488,6422.607578676943,0.4586,0.18607404628256344,0.3624660777981365,4.762648324771726,0.0487988131247663,4290.658253207801,0
6978.0,74.3505,0.9108,156.5,2.0541,0.8198,0.3845,10579.174532116083,6389.776357827476,0.5058,0.22069922807928383,0.35492630343737597,4.840213845152932,0.04919458224821577,4231.219945217012,0
6978.5,77.6564,0.895,156.9,2.0521,0.6361,0.3857,10745.679007375751,6373.486297004461,0.5444,0.2523025004026829,0.35189146494604046,4.807894905120962,0.04903006682190512,4255.7609425221535,1
6979.0,82.8024,0.8796,156.1,2.0454,0.5934,0.3901,11378.931798614954,6406.149903907752,0.6044,0.3080798600331665,0.34881729875555567,4.692058263624831,0.048435824880065946,4346.39882306585,2
6979.5,77.6043,0.8683,155.6,2.0398,0.5547,0.3937,11924.707582582572,6426.735218508998,0.5438,0.25178693813281594,0.3599605502902027,4.600298870704535,0.0479598731790678,4421.321766429455,1
6980.0,76.929,0.8699,156.3,2.0403,0.5267,0.3934,11878.243331915855,6397.952655150351,0.5359,0.24507217562889289,0.3605603284657284,4.607844610131923,0.04799919067094738,4415.051902018261,1
6980.5,76.6791,0.882,155.7,2.0491,0.4682,0.3877,11029.030353783142,6422.607578676943,0.533,0.24264120026992478,0.35518607916383005,4.754728434564861,0.04875822204800366,4296.832532926067,1
6981.0,81.3145,0.8871,155.4,2.0674,0.5265,0.3759,9459.035744929446,6435.006435006435,0.5871,0.29110759144794596,0.33689158274597525,5.0814328308756584,0.05040551969217091,4057.5805388781882,2
6981.5,83.0289,0.8743,155.8,2.0874,0.6368,0.363,7997.228287797734,6418.485237483953,0.6071,0.3107973059714182,0.32135316099982997,5.477626875222615,0.052333674031270795,3804.4854150578813,2
