DEPTH(m)	CALI	GR	RESS	RESD	DENSITY	NEUTRON	
2521.458	13.159	116.982	1.202	1.282	2.203	0.481	316.27
2521.61	13.495	112.178	1.175	1.248	2.172	0.459	323.92
2521.763	13.196	109.881	1.198	1.281	2.162	0.449	337.849
2521.915	12.563	112.049	1.221	1.317	2.194	0.47	346.638
2522.068	12.421	119.694	1.197	1.286	2.222	0.529	353.863
2522.22	12.421	125.943	1.115	1.176	2.207	0.599	360.829
2522.372	12.489	130.963	1.067	1.12	2.177	0.627	364.896
2522.525	12.534	129.935	1.066	1.135	2.179	0.563	366.492
2522.677	12.635	133.067	1.095	1.168	2.201	0.572	365.808
2522.83	12.499	129.952	1.155	1.243	2.22	0.528	365.949
2522.982	12.541	128.535	1.211	1.317	2.229	0.476	369.383
2523.135	12.782	126.858	1.225	1.336	2.23	0.481	369.201
2523.287	13.265	128.978	1.222	1.329	2.223	0.589	362.536
2523.439	13.337	128.347	1.222	1.325	2.213	0.598	356.316
2523.592	13.073	125.26	1.235	1.341	2.209	0.597	352.053
2523.744	12.952	126.515	1.229	1.343	2.216	0.599	350.238
2523.896	12.764	123.65	1.203	1.318	2.223	0.479	351.498
2524.049	12.709	119.946	1.157	1.266	2.213	0.599	355.814
2524.201	12.651	110.064	1.116	1.22	2.18	0.518	361.434
2524.354	12.7	105.892	1.072	1.171	2.152	0.496	365.547
2524.506	13.361	107.478	1.032	1.122	2.153	0.38	368.945
2524.658	13.474	111.158	0.998	1.081	2.173	0.342	376.711
2524.811	12.984	114.123	0.979	1.057	2.186	0.317	386.241
2524.963	12.893	121.322	0.968	1.041	2.186	0.379	392.325
2525.115	12.574	123.359	0.966	1.034	2.183	0.47	396.961
2525.268	12.403	115.836	0.972	1.043	2.186	0.651	401.691
2525.42	12.802	115.23	0.97	1.044	2.195	0.567	399.011
2525.573	13.145	114.811	0.967	1.038	2.203	0.46	396.586
2525.725	12.765	115.292	0.968	1.039	2.199	0.488	399.052
2525.878	12.558	118.989	0.972	1.039	2.185	0.594	401.1
2526.03	12.363	117.94	0.966	1.027	2.18	0.484	401.335
2526.182	12.227	118.664	0.966	1.024	2.191	0.419	400.247
2526.335	12.368	122.602	0.983	1.039	2.206	0.434	399.728
2526.487	12.47	124.329	1.009	1.066	2.209	0.435	398.998
2526.64	12.646	121.994	1.024	1.082	2.204	0.478	395.655
2526.792	12.782	119.285	1.027	1.084	2.198	0.449	392.959
2526.944	12.774	118.724	1.031	1.088	2.192	0.497	391.88
2527.097	12.733	112.92	1.039	1.094	2.184	0.447	389.093
2527.249	12.728	112.332	1.052	1.105	2.18	0.414	383.885
2527.402	12.446	112.66	1.064	1.116	2.183	0.483	380.696
2527.554	12.134	115.151	1.084	1.13	2.192	0.529	379.16
2527.706	12.09	110.176	1.118	1.166	2.199	0.551	376.222
2527.859	12.351	108.223	1.147	1.204	2.201	0.559	373.488
2528.011	12.512	109.076	1.148	1.202	2.194	0.549	369.422
2528.164	12.35	111.085	1.144	1.199	2.183	0.623	364.439
2528.316	12.331	115.761	1.145	1.204	2.176	0.723	360.396
2528.469	12.522	114.961	1.154	1.217	2.178	0.787	359.412
2528.621	12.622	108.125	1.157	1.219	2.18	0.587	361.168
2528.773	12.61	108.237	1.154	1.222	2.181	0.461	363.547
2528.926	12.654	112.737	1.148	1.222	2.185	0.405	366.035
2529.078	12.745	118.47	1.138	1.212	2.192	0.456	370.321
2529.23	12.705	120.615	1.133	1.196	2.195	0.488	375.006
2529.383	12.764	119.039	1.139	1.2	2.196	0.488	377.275
2529.535	12.726	117.827	1.142	1.198	2.203	0.491	382.302
2529.688	12.958	112.507	1.121	1.173	2.208	0.468	387.531
2529.84	12.967	110.998	1.106	1.152	2.205	0.623	387.342
2529.992	12.761	112.611	1.097	1.136	2.202	0.472	382.356
2530.145	12.874	115.608	1.098	1.145	2.206	0.461	374.038
2530.297	12.805	119.257	1.117	1.164	2.21	0.423	366.477
2530.45	12.569	115.787	1.152	1.196	2.212	0.473	363.749
2530.602	12.514	114.877	1.172	1.214	2.217	0.461	363.352
2530.754	12.49	111.195	1.173	1.207	2.213	0.45	360.285
2530.907	12.575	109.721	1.17	1.202	2.191	0.504	355.549
2531.059	12.705	114.94	1.185	1.228	2.171	0.473	352.748
2531.212	12.813	118.505	1.201	1.248	2.178	0.442	350.478
2531.364	12.927	110.64	1.213	1.253	2.203	0.42	347.432
2531.516	12.964	109.552	1.232	1.27	2.218	0.426	345.176
2531.669	12.822	104.445	1.278	1.323	2.212	0.433	344.54
2531.821	12.825	114.268	1.312	1.362	2.204	0.402	340.962
2531.974	13.127	116.538	1.309	1.352	2.207	0.38	336.43
2532.126	12.976	111.712	1.288	1.334	2.218	0.406	335.719
2532.278	12.962	103.249	1.264	1.303	2.226	0.448	337.431
2532.431	12.744	110.294	1.232	1.267	2.226	0.488	346.002
2532.583	12.239	106.019	1.188	1.239	2.222	0.463	360.315
2532.736	12.529	109.261	1.151	1.204	2.218	0.473	368.901
2532.888	12.674	107.417	1.137	1.192	2.214	0.532	370.458
2533.04	12.721	109.633	1.16	1.214	2.212	0.621	367.45
2533.193	12.869	112.057	1.196	1.256	2.21	0.529	362.549
2533.345	12.882	113.725	1.225	1.287	2.207	0.51	358.785
2533.498	12.731	113.772	1.225	1.287	2.208	0.554	357.152
2533.65	12.667	113.638	1.207	1.28	2.221	0.505	356.138
2533.802	12.771	111.889	1.192	1.274	2.23	0.617	354.036
2533.955	12.628	105.391	1.186	1.269	2.222	0.475	350.118
2534.107	12.516	105.103	1.215	1.299	2.214	0.406	344.9
2534.26	12.479	109.088	1.265	1.357	2.229	0.367	339.671
2534.412	12.841	117.391	1.279	1.368	2.251	0.469	337.569
2534.564	13.241	124.518	1.253	1.334	2.248	0.521	337.108
2534.717	13.282	127.369	1.214	1.291	2.217	0.614	335.908
2534.869	13.113	122.451	1.205	1.279	2.189	0.47	333.643
2535.021	12.854	119.478	1.199	1.274	2.183	0.479	332.543
2535.174	12.77	115.716	1.218	1.298	2.198	0.51	332.372
2535.326	12.7	113.651	1.22	1.314	2.223	0.516	335.005
2535.479	12.856	109.324	1.172	1.273	2.237	0.537	340.102
2535.631	13.111	111.961	1.076	1.17	2.23	0.471	345.243
2535.784	13.459	116.393	1.001	1.089	2.211	0.411	350.491
2535.936	13.731	118.8	0.972	1.057	2.197	0.386	357.738
2536.088	13.725	119.97	0.968	1.05	2.193	0.415	365.707
2536.241	14.128	124.266	0.972	1.052	2.191	0.447	375.051
2536.393	14.236	125.969	0.981	1.059	2.186	0.452	383.045
2536.546	14.365	126.278	0.987	1.062	2.178	0.467	387.019
