DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
2085.594,12.359,86.585,1.644,1.537,2.118,0.466,6842.5,0.2324
2085.746,12.342,86.408,1.724,1.614,2.133,0.485,6843.0,0.2324
2085.899,12.328,81.535,1.608,1.514,2.116,0.443,6843.5,0.2324
2086.051,12.282,71.439,1.364,1.278,2.072,0.423,6844.0,750.797
2086.204,12.276,73.51,1.13,1.043,2.041,0.399,6844.5,1069.55
2086.356,12.313,80.537,1.113,1.031,2.054,0.413,6845.0,966.781
2086.508,12.374,87.341,1.289,1.219,2.093,0.42,6845.5,0.2324
2086.661,12.365,89.707,1.469,1.397,2.123,0.495,6846.0,0.2324
2086.813,12.329,89.563,1.536,1.441,2.135,0.531,6846.5,0.2324
2086.966,12.331,92.97,1.597,1.488,2.141,0.56,6847.0,0.2324
2087.118,12.309,97.029,1.73,1.62,2.147,0.518,6847.5,0.2324
2087.271,12.285,99.052,1.67,1.555,2.147,0.449,6848.0,0.2324
2087.423,12.286,97.378,1.564,1.45,2.137,0.402,6848.5,0.2324
2087.575,12.295,92.071,1.462,1.36,2.118,0.356,6849.0,395.936
2087.728,12.282,85.208,1.344,1.234,2.095,0.373,6849.5,541.837
2087.88,12.295,84.567,1.316,1.2,2.089,0.394,6850.0,594.917
2088.032,12.353,86.988,1.383,1.278,2.108,0.411,6850.5,0.2324
2088.185,12.344,91.46,1.472,1.36,2.134,0.429,6851.0,0.2324
2088.337,12.329,95.037,1.471,1.343,2.147,0.419,6851.5,0.2324
2088.49,12.363,100.851,1.482,1.352,2.153,0.386,6852.0,0.2324
2088.642,12.357,103.602,1.553,1.422,2.163,0.381,6852.5,0.2324
2088.794,12.31,102.294,1.559,1.419,2.169,0.424,6853.0,0.2324
2088.947,12.32,98.979,1.515,1.377,2.165,0.491,6853.5,0.2324
2089.099,12.328,98.521,1.484,1.347,2.158,0.515,6854.0,0.2324
2089.252,12.29,94.837,1.507,1.369,2.152,0.442,6854.5,0.2324
2089.404,12.33,96.269,1.498,1.367,2.145,0.411,6855.0,0.2324
2089.556,12.337,91.467,1.503,1.378,2.139,0.377,6855.5,0.2324
2089.709,12.33,92.22,1.477,1.355,2.136,0.365,6856.0,0.2324
2089.861,12.328,83.843,1.352,1.234,2.13,0.365,6856.5,0.2324
2090.014,12.333,84.518,1.307,1.189,2.118,0.369,6857.0,0.2324
2090.166,12.354,86.572,1.253,1.145,2.106,0.399,6857.5,0.2324
2090.318,12.348,87.424,1.281,1.171,2.105,0.403,6858.0,0.2324
2090.471,12.36,91.645,1.309,1.197,2.116,0.401,6858.5,0.2324
2090.623,12.379,91.625,1.39,1.284,2.127,0.401,6859.0,0.2324
2090.776,12.378,93.212,1.456,1.353,2.133,0.419,6859.5,0.2324
2090.928,12.367,90.798,1.374,1.27,2.134,0.407,6860.0,0.2324
2091.08,12.404,92.566,1.374,1.266,2.137,0.385,6860.5,0.2324
2091.233,12.414,96.691,1.511,1.397,2.146,0.405,6861.0,0.2324
2091.385,12.416,97.052,1.588,1.476,2.157,0.446,6861.5,0.2324
2091.538,12.41,95.366,1.576,1.469,2.159,0.481,6862.0,0.2324
2091.69,12.408,92.104,1.476,1.38,2.148,0.398,6862.5,0.2324
2091.842,12.374,88.35,1.304,1.207,2.128,0.404,6863.0,0.2324
2091.995,12.354,87.962,1.242,1.146,2.119,0.432,6863.5,0.2324
2092.147,12.358,85.222,1.308,1.225,2.131,0.416,6864.0,0.2324
2092.3,12.363,84.684,1.482,1.413,2.148,0.44,6864.5,0.2324
2092.452,12.33,85.506,1.469,1.401,2.154,0.416,6865.0,0.2324
2092.604,12.305,88.563,1.375,1.299,2.147,0.439,6865.5,0.2324
2092.757,12.346,91.157,1.38,1.298,2.139,0.449,6866.0,0.2324
2092.909,12.411,90.998,1.472,1.39,2.138,0.508,6866.5,0.2324
2093.062,12.444,85.865,1.534,1.457,2.14,0.574,6867.0,0.2324
2093.214,12.439,79.152,1.513,1.461,2.136,0.437,6867.5,0.2324
2093.366,12.383,68.625,1.236,1.19,2.121,0.346,6868.0,380.47
2093.519,12.296,59.752,0.973,0.92,2.094,0.316,6868.5,551.257
2093.671,12.283,62.811,0.876,0.821,2.072,0.358,6869.0,755.178
2093.823,12.301,71.335,1.023,0.979,2.069,0.389,6869.5,783.014
2093.976,12.332,83.878,1.208,1.175,2.087,0.417,6870.0,0.2324
2094.128,12.35,89.664,1.377,1.344,2.112,0.4,6870.5,0.2324
2094.281,12.364,91.346,1.426,1.387,2.136,0.438,6871.0,0.2324
2094.433,12.359,93.839,1.467,1.423,2.157,0.449,6871.5,0.2324
2094.586,12.361,93.025,1.507,1.454,2.173,0.495,6872.0,0.2324
