Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
8425.0,38.0228,1950.0,2.2103,0.4342,0.0428,0.0061127378001319,freeman_4
8425.5,35.1317,1950.0,2.2104,0.4259,0.0428,0.0061127378001319,freeman_4
8426.0,32.5939,1950.0,2.2105,0.4285,0.0427,0.0060846552728391,freeman_4
8426.5,34.0896,634.8501,2.2107,0.4042,0.0425,0.0060288766673468,freeman_4
8427.0,36.716,151.6606,2.2108,0.4137,0.0424,0.0060011794064645,freeman_4
8427.5,38.5539,61.8163,2.211,0.4208,0.0422,0.0059461660320674,freeman_4
8428.0,37.5037,33.0621,2.2111,0.4343,0.0422,0.0059461660320674,freeman_4
8428.5,37.1173,22.1215,2.2112,0.4383,0.0421,0.0059188487520952,freeman_4
8429.0,39.2695,21.1967,2.2114,0.4619,0.0419,0.0058645901105275,freeman_4
8429.5,40.4548,28.9022,2.2115,0.4655,0.0418,0.0058376475984773,freeman_4
8430.0,41.0011,54.418,2.2117,0.4757,0.0416,0.0057841333354997,freeman_4
8430.5,37.2304,117.8545,2.2118,0.4584,0.0416,0.0057841333354997,freeman_4
8431.0,36.5791,141.6602,2.2119,0.4445,0.0415,0.0057575604499008,freeman_4
8431.5,35.8068,42.8748,2.2121,0.4154,0.0413,0.0057047803533246,freeman_4
8432.0,42.915,12.6467,2.2122,0.398,0.0412,0.0056785720232425,freeman_4
8432.5,52.3278,3.982,2.2124,0.4226,0.041,0.0056265160209808,freeman_4
8433.0,62.7401,1.9571,2.2125,0.4276,0.0409,0.0056006672450495,freeman_4
8433.5,67.4532,1.5008,2.2126,0.4138,0.0409,0.0056006672450495,freeman_4
8434.0,69.2482,1.482,2.2128,0.4119,0.0407,0.0055493254031953,freeman_4
8434.5,66.4988,1.5642,2.2129,0.4322,0.0406,0.0055238312486631,freeman_4
8435.0,69.7717,1.6921,2.213,0.4574,0.0405,0.0054984542168202,freeman_4
8435.5,68.3748,1.8873,2.2132,0.4511,0.0403,0.0054480493713811,freeman_4
8436.0,70.7982,1.9717,2.2133,0.426,0.0403,0.0054480493713811,freeman_4
8436.5,67.7143,1.9574,2.2135,0.4289,0.0401,0.005398106591887,freeman_4
8437.0,65.9537,1.8799,2.2136,0.4526,0.04,0.0053733071516603,freeman_4
8437.5,63.9159,1.8101,2.2137,0.4616,0.0399,0.0053486216425361,freeman_4
8438.0,62.3112,1.7723,2.2139,0.4435,0.0397,0.0052995903263565,freeman_4
8438.5,59.8483,1.7921,2.214,0.4109,0.0397,0.0052995903263565,freeman_4
8439.0,58.9843,1.8438,2.2142,0.4067,0.0395,0.0052510084848503,freeman_4
8439.5,56.769,1.8955,2.2143,0.4149,0.0394,0.0052268848280026,freeman_4
8440.0,61.2802,1.9632,2.2144,0.3992,0.0393,0.0052028719976411,freeman_4
8440.5,61.7455,2.0062,2.2146,0.3923,0.0391,0.0051551767821243,freeman_4
8441.0,62.9469,2.0733,2.2147,0.3855,0.0391,0.0051551767821243,freeman_4
8441.5,60.6221,2.1011,2.2149,0.4014,0.0389,0.005107918793121,freeman_4
8442.0,59.5203,2.0813,2.215,0.3955,0.0388,0.0050844525045924,freeman_4
8442.5,58.6882,2.0609,2.2151,0.4128,0.0387,0.0050610940225345,freeman_4
8443.0,57.0026,2.0053,2.2153,0.4456,0.0385,0.0050146984990112,freeman_4
8443.5,58.9504,1.9174,2.2154,0.4607,0.0384,0.0049916604738139,freeman_4
8444.0,56.4512,1.8417,2.2155,0.4391,0.0384,0.0049916604738139,freeman_4
8444.5,58.4208,2.0068,2.2157,0.4113,0.0382,0.0049459014541431,freeman_4
8445.0,57.7803,1.8213,2.2158,0.4247,0.0381,0.0049231794894335,freeman_4
8445.5,60.431,1.5825,2.216,0.4436,0.0379,0.0048780482413684,freeman_4
8446.0,58.4417,1.5264,2.2161,0.4443,0.0378,0.0048556380010877,freeman_4
8446.5,60.056,1.5526,2.2162,0.4441,0.0378,0.0048556380010877,freeman_4
8447.0,62.186,1.5337,2.2164,0.4264,0.0376,0.0048111259121802,freeman_4
8447.5,66.4248,1.4854,2.2165,0.4402,0.0375,0.0047890231197564,freeman_4
8448.0,68.1192,1.4496,2.2167,0.436,0.0373,0.004745121695713,freeman_4
8448.5,71.9383,1.4266,2.2168,0.5183,0.0372,0.0047233221332446,freeman_4
8449.0,70.7535,1.418,2.2169,0.5159,0.0372,0.0047233221332446,freeman_4
8449.5,71.128,1.4013,2.2171,0.5431,0.037,0.0046800229963059,freeman_4
8450.0,73.7583,1.3861,2.2172,0.4787,0.0369,0.0046585225037571,freeman_4
8452.5,71.77,1.4387,2.2179,0.479,0.0363,0.0045315780223494,freeman_4
8453.0,63.4456,1.5395,2.218,0.4666,0.0362,0.0045107595008205,freeman_4
8453.5,61.644,1.6011,2.2182,0.4511,0.036,0.004469408945467,freeman_4
8454.0,59.7209,1.6844,2.2183,0.4162,0.0359,0.0044488760348797,freeman_4
8454.5,56.662,1.7686,2.2185,0.3924,0.0358,0.0044284374545321,freeman_4
8455.0,53.9545,1.7334,2.2186,0.3974,0.0357,0.0044080927710617,freeman_4
8455.5,53.4783,1.6207,2.2187,0.4162,0.0356,0.0043878415530968,freeman_4
8456.0,56.1011,1.5386,2.2189,0.4417,0.0354,0.004347617798097,freeman_4
8456.5,57.2357,1.4885,2.219,0.4439,0.0353,0.0043276444081913,freeman_4
8457.0,55.2079,1.5233,2.2192,0.4601,0.0352,0.0043077627780314,freeman_4
8457.5,57.4379,1.5803,2.2193,0.4611,0.0351,0.004287972486064,freeman_4
8458.0,56.9578,1.5979,2.2194,0.4196,0.035,0.0042682731126722,freeman_4
8458.5,61.1192,1.6073,2.2196,0.4092,0.0348,0.0042291454527787,freeman_4
8459.0,61.4753,1.6309,2.2197,0.3997,0.0347,0.0042097163366468,freeman_4
8459.5,64.1045,1.6353,2.2199,0.4187,0.0346,0.0041903764798127,freeman_4
8460.0,63.7201,1.634,2.22,0.4084,0.0345,0.0041711254722104,freeman_4
8460.5,61.4091,1.6349,2.2201,0.4215,0.0344,0.0041519629056575,freeman_4
8461.0,58.9847,1.6513,2.2203,0.466,0.0342,0.004113901472339,freeman_4
8461.5,57.8571,1.6458,2.2204,0.4703,0.0341,0.0040950017985506,freeman_4
8462.0,58.3607,1.653,2.2205,0.4379,0.0341,0.0040950017985506,freeman_4
8462.5,62.6,1.6663,2.2207,0.3876,0.0339,0.0040574625330426,freeman_4
8463.0,69.4194,1.6525,2.2208,0.409,0.0338,0.0040388221453719,freeman_4
8463.5,72.5481,1.6348,2.221,0.4344,0.0336,0.004001797884013,freeman_4
8464.0,71.9584,1.6595,2.2501,0.4379,0.0085,0.0012598186443669,freeman_4
8464.5,68.3593,1.8045,2.246,0.4015,0.0121,0.0014869639745136,freeman_4
8465.0,66.9109,1.8348,2.246,0.3783,0.0121,0.0014869639745136,freeman_4
8465.5,64.3889,1.7782,2.2539,0.3596,0.0053,0.0010872133414809,freeman_4
8466.0,62.4613,1.7389,2.2614,0.3469,-0.0012,0.0008059877987493,freeman_4
8466.5,65.8467,1.7131,2.2664,0.3358,-0.0055,0.0006612071279292,freeman_4
8467.0,74.0486,1.6561,2.2753,0.328,-0.0132,0.0004638245684427,freeman_4
8473.0,63.4128,1.718,2.3379,0.3556,-0.0672,3.858935477905524e-05,freeman_4
8473.5,56.4497,2.0421,2.3105,0.3498,-0.0435,0.0001149258132536,freeman_4
8474.0,46.2571,2.2855,2.2573,0.3272,0.0023,0.0009469370159584,freeman_4
8474.5,43.8691,1.9862,2.2017,0.3477,0.0503,0.0086341574974221,freeman_4
8475.0,40.1235,1.7541,2.1721,0.3538,0.0758,0.0279361299787238,freeman_4
8475.5,42.4443,1.7157,2.1747,0.3564,0.0735,0.0251287617276559,freeman_4
8476.0,49.6007,1.6808,2.1984,0.3384,0.0531,0.0098223197403625,freeman_4
8476.5,60.3158,1.5804,2.2282,0.3417,0.0274,0.0030079333749347,freeman_4
8477.0,68.5062,1.4985,2.2542,0.359,0.005,0.0010722977757595,freeman_4
8477.5,74.4193,1.4862,2.2687,0.3876,-0.0075,0.0006030339184818,freeman_4
8490.0,74.8905,1.7092,2.1598,0.3535,0.0864,0.0455138852724463,freeman_4
8490.5,71.9641,1.7547,2.1342,0.3578,0.1084,0.1253422713960866,freeman_4
8491.0,70.9871,1.8023,2.1218,0.3647,0.1191,0.2051516515752653,freeman_4
8491.5,72.1541,1.7322,2.1254,0.3581,0.116,0.1778613354070035,freeman_4
8492.0,73.3004,1.5969,2.1406,0.3226,0.1029,0.097299172782888,freeman_4
8492.5,70.017,1.4471,2.1611,0.3093,0.0853,0.0432659483944158,freeman_4
8493.0,62.4359,1.6059,2.1653,0.3316,0.0816,0.0364883330370673,freeman_4
8493.5,52.9268,1.8674,2.1335,0.3488,0.1091,0.129448220829436,freeman_4
8494.0,44.2156,1.8863,2.0782,0.3633,0.1567,1.1587661535301277,freeman_4
8494.5,38.9264,1.7417,2.0347,0.3943,0.1942,6.51503564015183,freeman_4
8495.0,34.4254,1.6741,2.0291,0.4129,0.1991,8.164065350774516,freeman_4
8495.5,34.1721,1.6754,2.0489,0.4242,0.182,3.714860407179336,freeman_4
8496.0,35.1677,1.6329,2.0708,0.4001,0.1631,1.5559022820066577,freeman_4
8496.5,36.8139,1.5885,2.0882,0.3761,0.1481,0.7798551060052613,freeman_4
8497.0,40.1893,1.6086,2.1,0.3735,0.1379,0.4875682415685243,freeman_4
8497.5,42.3166,1.6555,2.1031,0.3689,0.1353,0.432554552524016,freeman_4
8498.0,52.4745,1.6084,2.1048,0.371,0.1338,0.4036863339577377,freeman_4
8498.5,57.1174,1.5206,2.1087,0.3652,0.1304,0.3451844399722421,freeman_4
8499.0,70.6119,1.4601,2.1183,0.4049,0.1222,0.2366292822875196,freeman_4
8504.0,74.3832,1.1583,2.3094,0.3857,-0.0426,0.0001197886552421,freeman_4
8504.5,57.3137,1.4655,2.2672,0.3357,-0.0062,0.0006402343944698,freeman_4
8505.0,43.3059,1.6645,2.2018,0.3026,0.0502,0.0085944913164898,freeman_4
8505.5,37.8815,1.5149,2.1407,0.3042,0.1028,0.0968521706760446,freeman_4
8506.0,39.5392,1.3499,2.1095,0.3007,0.1297,0.3342355845409072,freeman_4
8506.5,41.5114,1.238,2.1169,0.2896,0.1234,0.2500725129518528,freeman_4
8507.0,46.5142,1.2351,2.1406,0.2554,0.1029,0.097299172782888,freeman_4
8507.5,55.6115,1.1962,2.1546,0.2829,0.0909,0.0559930893443908,freeman_4
8696.0,74.3381,2.8759,2.1581,0.339,0.0878,0.0485446037986357,freeman_4
8696.5,68.6891,2.9349,2.1514,0.3491,0.0936,0.0634057642166662,freeman_4
8697.0,59.1071,4.7739,2.1412,0.2923,0.1024,0.0950846038447647,freeman_4
8697.5,53.5838,8.8779,2.1084,0.2715,0.1307,0.3499859245195448,freeman_4
8698.0,49.6652,11.879,2.0633,0.2432,0.1696,2.098788246749147,freeman_4
8698.5,46.4224,13.0306,2.0351,0.2457,0.1939,6.425655351518056,freeman_4
8699.0,47.241,14.7795,2.028,0.2575,0.2,8.50951045714897,freeman_4
8699.5,45.5554,15.7149,2.0247,0.2746,0.2028,9.680519792351657,freeman_4
8700.0,45.338,14.0742,2.0121,0.2961,0.2137,15.991003302059774,freeman_4
8700.5,43.1913,9.6662,2.0092,0.3035,0.2162,17.941983209626283,freeman_4
8701.0,51.801,5.3425,2.0416,0.2968,0.1883,4.965114018430778,freeman_4
8701.5,57.8921,3.2206,2.1014,0.317,0.1367,0.4613578745888034,freeman_4
8702.0,65.6513,2.9427,2.1431,0.3302,0.1008,0.088331086476885,freeman_4
8702.5,65.1244,3.965,2.1325,0.3231,0.1099,0.1343056862602491,freeman_4
8703.0,68.2501,4.2172,2.0991,0.3285,0.1387,0.5058639420687423,freeman_4
8708.0,72.2363,3.4221,2.1647,0.3287,0.0822,0.0375104918726821,freeman_4
8708.5,69.3472,4.6654,2.09,0.3026,0.1466,0.727808427687298,freeman_4
8711.0,67.6718,3.6148,2.148,0.3586,0.0966,0.0727984983387529,freeman_4
8711.5,57.8197,7.9085,2.074,0.2898,0.1603,1.3676917172875576,freeman_4
8712.0,50.3687,19.7,2.0156,0.2558,0.2107,13.927784337531994,freeman_4
8712.5,44.7758,58.9492,1.9896,0.2544,0.2331,39.06922899106148,freeman_4
8713.0,42.4897,337.4915,1.9837,0.2788,0.2382,49.41105149303665,freeman_4
8713.5,43.9858,333.0505,1.9833,0.2911,0.2385,50.0983547800239,freeman_4
8714.0,42.8756,154.9913,1.9865,0.2735,0.2358,44.24142962174931,freeman_4
8714.5,38.4532,102.2781,1.9951,0.2594,0.2284,31.466232173842677,freeman_4
8715.0,40.3289,93.4182,2.0007,0.2509,0.2235,25.110482984366207,freeman_4
8715.5,41.338,112.0463,1.9983,0.2637,0.2256,27.65990230627327,freeman_4
8716.0,40.9179,166.3239,1.9912,0.2609,0.2317,36.63007351667948,freeman_4
8716.5,40.2473,296.7309,1.9816,0.2791,0.24,53.68096368684934,freeman_4
8717.0,39.5035,616.4568,1.9625,0.2844,0.2565,114.75867923938186,freeman_4
8717.5,41.0242,1340.092,1.9423,0.3061,0.2739,255.7106891830269,freeman_4
