DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
7663.0,2.2382,137.507,,,,
7663.5,2.2382,137.507,,,,
7664.0,2.2382,137.507,,,,
7664.5,2.2382,137.507,,,,
7665.0,2.2382,137.507,,,,
7665.5,2.2382,137.507,,,,
7666.0,2.2382,137.507,,,,
7666.5,2.2382,137.507,,,,
7667.0,2.2382,137.507,,,,
7667.5,2.2382,137.507,,,,
7668.0,2.2382,137.507,,,,
7668.5,2.2382,137.507,,,,
7669.0,2.2382,137.507,,,,
7669.5,2.2382,137.507,,,,
7670.0,2.2382,137.507,,,,
7670.5,2.2382,137.507,,,,
7671.0,2.2382,137.507,,,,
7671.5,2.2382,137.507,,,,
7672.0,2.2382,137.507,,,,
7672.5,2.2382,137.507,,,,
7673.0,2.2382,137.507,,,,
7673.5,2.2382,137.507,,,,
7674.0,2.2382,137.507,,,,
7674.5,2.2382,137.507,,,,
7675.0,2.2382,137.507,,,,
7675.5,2.2382,137.507,,,,
7676.0,2.2382,137.507,,,,
7676.5,2.2382,137.507,,,,
7677.0,2.2382,137.507,,,,
7677.5,2.2382,137.507,,,,
7678.0,2.2382,137.507,,,,
7678.5,2.2382,137.507,,,,
7679.0,2.2382,137.507,,,,
7679.5,2.2382,137.507,,,,
7680.0,2.2382,137.507,,,,
7680.5,2.2382,137.507,,,,
7681.0,2.2382,137.507,,,,
7681.5,2.2382,137.507,39.0321,0.5983,,
7682.0,2.2382,137.507,39.0321,0.5983,,
7682.5,2.2382,137.507,39.0321,0.5983,0.9332,
7683.0,2.2382,137.507,39.0321,0.5983,0.9332,
7683.5,2.2382,137.507,39.0321,0.5983,0.9332,
7684.0,2.2382,137.507,39.0321,0.5983,0.9332,
7684.5,2.2382,137.507,39.0321,0.5983,0.9332,
7685.0,2.2382,137.507,39.0321,0.5983,0.9332,
7685.5,2.2382,137.507,39.0321,0.5983,0.9332,
7686.0,2.2382,137.507,39.0321,0.5983,0.9332,
7686.5,2.2382,137.507,39.0321,0.5983,0.9332,
7687.0,2.2382,137.507,39.0321,0.5983,0.9332,
7687.5,2.2382,137.507,39.0321,0.5983,0.9332,
7688.0,2.2382,137.507,39.0321,0.5983,0.9332,
7688.5,2.2382,137.507,39.0321,0.5983,0.9332,
7689.0,2.2382,137.507,39.0321,0.5983,0.9332,
7689.5,2.2382,137.507,39.0321,0.5983,0.9332,
7690.0,2.2382,137.507,39.0321,0.5983,0.9332,
7690.5,2.2382,137.507,39.0321,0.5983,0.9332,
7691.0,2.2382,137.507,39.0321,0.5983,0.9332,
7691.5,2.2382,137.507,39.0321,0.5983,0.9332,
7692.0,2.2382,137.507,39.0321,0.5983,0.9332,
7692.5,2.2382,137.507,39.0321,0.5983,0.9332,
7693.0,2.2382,137.507,39.0321,0.5983,0.9332,
7693.5,2.2382,137.507,39.0321,0.5983,0.9332,
7694.0,2.2382,137.507,39.0321,0.5983,0.9332,
7694.5,2.2382,137.507,39.0321,0.5983,0.9332,
7695.0,2.2382,137.507,39.0321,0.5983,0.9332,
7695.5,2.2382,137.507,39.0321,0.5983,0.9332,
7696.0,2.2382,137.507,39.0321,0.5983,0.9332,
7696.5,2.2382,137.507,39.0321,0.5983,0.9332,
7697.0,2.2382,137.507,39.0321,0.5983,0.9332,
7697.5,2.2382,137.507,39.0321,0.5983,0.9332,
7698.0,2.2382,137.507,39.0321,0.5983,0.9332,
7698.5,2.2382,137.507,39.0321,0.5983,0.9332,
7699.0,2.2382,137.507,39.0321,0.5983,0.9332,
7699.5,2.2382,137.507,39.0321,0.5983,0.9332,
7700.0,2.2382,137.507,39.0321,0.5983,0.9332,
7700.5,2.2382,137.507,39.0321,0.5983,0.9332,
7701.0,2.2382,137.507,39.0321,0.5983,0.9332,
7701.5,2.2382,137.507,39.0321,0.5983,0.9332,
7702.0,2.2382,137.507,39.0321,0.5983,0.9332,
7702.5,2.2382,137.507,39.0321,0.5983,0.9332,
7703.0,2.2382,137.507,39.0321,0.5983,0.9332,
7703.5,2.2382,137.507,39.0321,0.5983,0.9332,
7704.0,2.2382,137.507,39.0321,0.5983,0.9332,
7704.5,2.2382,137.507,39.0321,0.5983,0.9332,
7705.0,2.2382,137.507,39.0321,0.5983,0.9332,
7705.5,2.2382,137.507,39.0321,0.5983,0.9332,
7706.0,2.2382,137.507,39.0321,0.5983,0.9332,
7706.5,2.2382,137.507,39.0321,0.5983,0.9332,
7707.0,2.2382,137.507,39.0321,0.5983,0.9332,
7707.5,2.2382,137.507,39.0321,0.5983,0.9332,
7708.0,2.2382,137.507,39.0321,0.5983,0.9332,
7708.5,2.2382,137.507,39.0321,0.5983,0.9332,
7709.0,2.2382,137.507,39.0321,0.5983,0.9332,
7709.5,2.2382,137.507,39.0321,0.5983,0.9332,
7710.0,2.2382,137.507,39.0321,0.5983,0.9332,
7710.5,2.2382,137.507,39.0321,0.5983,0.9332,
7711.0,2.2382,137.507,39.0321,0.5983,0.9332,
7711.5,2.2382,137.507,39.0321,0.5983,0.9332,
