DEPTH(m),CALI,GR,RESD,RESM,DENSITY,NEUTRON,DTC,DTS
2346.046,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2346.198,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2346.35,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2346.503,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2346.655,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2346.808,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2346.96,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2347.112,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2347.265,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2347.417,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2347.57,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2347.722,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2347.875,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.027,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.179,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.332,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.484,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.636,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.789,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2348.941,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2349.094,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2349.246,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2349.398,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2349.551,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2349.703,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2349.856,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.008,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.16,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.313,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.465,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.618,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.77,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2350.922,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.075,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.227,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.38,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.532,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.684,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.837,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2351.989,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2352.142,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2352.294,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2352.446,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2352.599,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2352.751,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2352.904,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.056,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.208,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.361,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.513,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.666,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.818,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2353.97,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2354.123,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2354.275,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2354.427,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2354.58,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
